gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,8.0,0.2448527016203182,22.044444444444448,0.4807471265816718,71.33333333333333,0.9352848714528176,21.164738903173507,0.3166868882988662
1,1,8.0,0.32081871591877953,36.64444444444446,0.49146910808781175,213.0,0.9267520227055087,57.69696913108678,0.25669126898272643
2,2,8.0,0.38849783549752187,32.86666666666667,0.5388447182266093,91.33333333333333,0.784227337739149,26.5519197883024,0.18291639273564064
3,3,8.0,0.38266665429130803,84.04444444444445,0.5199941238560034,200.33333333333334,0.7910566562460397,67.6518173818097,0.1802616522838801
4,4,8.0,0.16205165900382404,46.566666666666656,0.3566182878754475,286.3333333333333,1.0248232668441097,62.95896076604775,0.34373119458548923
5,5,8.0,0.5488885684402675,35.044444444444444,0.5845977038213909,81.66666666666667,0.6407884965913697,30.217205465973183,0.04015139520179814
6,6,8.0,0.14642439516858993,72.36666666666666,0.3122963917959181,99.66666666666667,0.9252812564888501,29.52529988557836,0.3068859909445567
7,7,8.0,0.35250360711911477,26.77777777777778,0.5215434858106359,449.0,0.8235343594683827,78.82039279899368,0.2130014444392458
8,8,8.0,0.14390070122895232,26.966666666666665,0.2418290902318275,109.33333333333333,1.052017045699033,29.14654544043103,0.2705979878391275
9,9,8.666666666666666,0.5168572267112983,21.2,0.5922709846369877,57.333333333333336,0.6636250715892307,17.722051549160756,0.06536328739833482
