gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,8.0,0.3262087771256601,30.87777777777778,0.5117022360784153,103.66666666666667,0.8763865722435701,28.2737259703583,0.24606818821569487
1,1,8.0,0.40208281596226886,23.544444444444437,0.5036463492234398,80.0,0.8017617678121505,21.523369441115985,0.16541722976298576
2,2,8.0,0.10424107893745552,57.04444444444446,0.20397729095668343,318.0,1.038582101413344,89.62166294560596,0.2784525966887417
3,3,8.0,0.37269133331127563,27.011111111111113,0.5265630399124052,117.66666666666667,0.819830370493494,29.71824272424741,0.20460792392446617
4,4,8.0,0.4211250548007255,51.577777777777776,0.5315627464474127,500.0,0.753704390734623,87.94636131833883,0.13658581704680772
5,5,8.0,0.47530653999891537,26.755555555555556,0.5773142357861533,87.0,0.7091286109984627,27.863547583726973,0.10452295777795413
6,6,9.333333333333334,0.38183854270773915,37.50000000000001,0.5387739471841865,89.0,0.7854079075695838,25.444893251742926,0.1889850574269356
7,7,8.666666666666666,0.5478933933983438,34.577777777777776,0.5789025446542966,500.0,0.5984630237005566,87.1985360620121,0.011720621735448569
8,8,9.333333333333334,0.48058583492292817,50.32222222222222,0.5392561785914143,121.33333333333333,0.6954886500210617,39.648687179548936,0.08811646495227232
9,9,8.0,0.4424453497844032,10.655555555555557,0.5480923219643781,16.666666666666668,0.7301670160874384,2.806715931651733,0.13853811457252915
10,10,8.666666666666666,0.3680118033475478,38.677777777777784,0.5113607415853914,98.66666666666667,0.7276089725509682,35.862854334082975,0.1755692948529834
11,11,8.0,0.33348380978721914,103.5888888888889,0.4649719860426746,239.0,0.7571326240112541,98.75269085253973,0.19153394520335526
12,12,8.666666666666666,0.32918916792486563,10.277777777777779,0.4828107796231364,12.0,0.841261206919101,1.3933262448871615,0.23466088799614623
13,13,8.666666666666666,0.3352350248945888,10.966666666666667,0.38566958646352967,18.333333333333332,0.8352990297797455,3.7161808352124095,0.14987885944015208
14,14,10.333333333333334,0.5698475439914501,28.822222222222226,0.6101974117278348,45.0,0.6475763024423331,12.201922536233662,0.03188736712318502
