gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,8.0,0.0016106844458375963,23.083333333333332,0.22903060067052322,64.0,0.6166666666666667,18.34571551555779,0.22875350658669816
1,1,8.666666666666666,0.08956685012326182,79.83333333333333,0.8298765067601312,406.0,3.2573092273579514,118.69908265114024,0.9071816175161617
2,2,8.0,0.45314755416545144,133.81666666666666,0.6472558334169759,406.0,0.8140038371921983,178.47765110636246,0.12051761144248473
3,3,8.666666666666666,0.06075592437515874,213.46666666666664,0.6663954229723583,406.0,0.8542278954140043,180.1337589434893,0.2705570478585502
4,4,8.0,0.4916484290376195,96.75000000000001,0.6852082877626403,495.0,1.0855344736006378,131.34622927379547,0.11500486679754847
5,5,8.666666666666666,0.14420413806306714,128.25,0.5074703587197755,500.0,0.7498925388870101,189.57082742635035,0.2595962983420945
6,6,8.0,0.4329234165448898,172.14999999999998,0.6024071171578491,495.0,0.7470429474984157,194.00482453909348,0.14945578984518018
7,7,9.666666666666666,0.1423154632507084,142.61666666666665,0.6442019293718481,495.0,0.7545406986498251,129.43643978588275,0.17682174891683525
8,8,8.0,0.6054392581274214,135.33333333333334,0.6946341012750209,495.0,0.9761968064906424,159.8145105357388,0.12433361517893846
9,9,8.666666666666666,0.14020931782629162,178.33333333333331,0.5770055547915125,495.0,0.7665118900383259,166.92995869858447,0.24223181413170383
10,10,8.666666666666666,0.614984281763519,227.2833333333333,0.7885600690123374,495.0,0.9021233995077047,180.32246655490394,0.0903971328784288
11,11,8.666666666666666,0.12199051577558666,203.68333333333334,0.6500613831853099,495.0,0.777594783384711,148.36645603969174,0.2238680675770295
12,12,8.0,0.07941327602098745,158.04999999999998,1.0605105870090727,495.0,3.527779051858919,175.93929745480085,1.092096734354729
13,13,8.0,0.2661244255584166,94.56666666666666,0.6249966228026732,495.0,0.7887312214401825,110.21550102715437,0.21995970789747069
14,14,8.666666666666666,0.6452977650851339,199.66666666666666,0.802205821989088,495.0,0.8986029536904376,151.1250034463744,0.061452390070091976
15,15,8.0,0.1359717267283369,203.11666666666665,0.9495647495245814,495.0,3.2232159781309426,198.92067863570364,1.2483665914471085
16,16,8.0,0.2401953203027865,163.7,0.4868906850194466,495.0,0.8264664019755074,198.35557018198963,0.24664428146990233
17,17,9.666666666666666,0.08378079476807208,143.78333333333333,0.504936284974755,495.0,0.8088361038963239,167.41134552685224,0.260953381647561
18,18,8.0,0.5325008786194871,189.33333333333331,0.6835960524540601,495.0,0.9082095737775249,181.10310139070873,0.11375650750815308
19,19,8.666666666666666,0.23923414047446123,209.73333333333335,0.6284753529423466,495.0,0.8181592771239858,170.05458600761762,0.23679199864780257
20,20,12.666666666666666,0.2426122638850534,150.48333333333335,0.7705230112619583,495.0,0.8224058273959993,83.68356237106015,0.1568378701595049
21,21,8.666666666666666,0.06197636021977137,110.31666666666668,0.3767404912222437,495.0,1.039928280134372,105.71310625146408,0.3591352732760869
22,22,8.666666666666666,0.18328952886363992,124.31666666666665,0.6255586556256312,495.0,0.831067197399216,99.77299094555711,0.28243059530895
23,23,8.666666666666666,0.1641000387368591,112.05,0.6890896388237825,139.0,0.8352381631567296,49.88512080548444,0.25541357580625074
24,24,49.666666666666664,-0.3975492884622319,137.75,0.7704712117154372,241.0,1.16580590355709,31.441988027335537,0.30074181196340094
25,25,8.666666666666666,0.09996520058751876,96.65,0.29353107152875696,241.0,1.0,62.49875332089967,0.20527337402830204
26,26,8.666666666666666,0.24783964463468566,110.75,0.7274953892895033,139.0,0.9083236684712362,50.95552254444829,0.26421654681320667
27,27,12.333333333333334,0.7188763528008342,132.06666666666666,0.9645842210804061,139.0,1.0,27.527279399009103,0.0852031191104557
28,28,8.666666666666666,-3.635491136635119,86.7,0.21050367945518444,139.0,0.8013658784834362,56.289815538277736,0.8995403854216779
29,29,8.666666666666666,0.11206868761077171,115.61666666666665,0.76343830460043,197.0,1.0,53.3781348285773,0.3257043842459463
30,30,8.666666666666666,0.7619221628866925,122.01666666666668,0.8897448973303188,139.0,0.9245133673609354,35.94401124588691,0.05603872922957876
31,31,42.0,0.310643559961341,131.7,0.9327049760164225,139.0,1.0,23.17779109406244,0.2019517234812866
32,32,8.666666666666666,0.17973158564688863,74.33333333333334,0.4787070785374722,139.0,0.909207755704149,48.250734018596376,0.2349603833285184
33,33,9.666666666666666,0.1907223265548615,97.2,0.7649746683056697,139.0,1.0,51.82099531614146,0.33654441349627134
34,34,10.333333333333334,0.09690387291797538,120.65,0.9320367982402431,139.0,1.0,43.73931298042985,0.2034517957275074
35,35,50.666666666666664,0.858756022507895,125.34999999999998,0.8781597410987905,139.0,0.9640661295172345,31.395766699774455,0.03545913898204199
36,36,57.0,0.3566476098395223,134.7,0.9676373428228189,139.0,1.0,17.846848461283017,0.14017322893669826
37,37,8.666666666666666,0.15861256762999715,63.31666666666666,0.5818331662852982,139.0,0.8413874323700028,47.8152085289468,0.22860498557419068
38,38,8.666666666666666,0.09793504265455456,92.88333333333333,0.5336520278561658,139.0,1.0,51.66357786465991,0.3959343851451257
39,39,9.666666666666666,0.09981129454052173,106.56666666666665,0.8307288528709534,139.0,1.0,55.721240713633314,0.29344137302908446
40,40,8.666666666666666,0.023224689442162626,86.25,0.7919070896340189,139.0,0.935415037444215,54.59262007512248,0.23774490885712343
