gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-621.8524743679399,0.02048075954153933,-332.8651790633168,0.3711468622832071,-86.37040080414097,0.6080699219581241,145.90378683859916,0.14971111837818218
1,1,-598.6777900544279,0.03764527455802654,-379.5264114770954,0.34696934216491837,-91.74969930171495,0.7513999234222173,134.47398586822283,0.15492081471850674
2,2,-611.3574006704122,7.202172624421461e-05,-356.76888844848435,0.3711301386564429,-109.3905776269529,0.6976330657638863,167.6126389690002,0.20348921170402703
3,3,-565.1718212362942,0.02005815099947103,-364.9356996635142,0.30816041737005023,-71.75696374561888,0.6416430714599289,142.58979618800478,0.16237313764162026
4,4,-700.8438230806142,0.002023880972458991,-369.15402220307635,0.39185498370883365,-101.08683875858615,0.6819723344057274,144.62133148773114,0.14639888991660663
5,5,-607.3438130162617,0.0069685230018229774,-350.6560564223383,0.3355687464387839,-49.840659396137916,0.6495227369487406,147.20101293060628,0.1655715002471859
6,6,-664.7566974190464,0.0232737175268099,-363.104687086285,0.35507086966369567,-18.60502671591441,0.6527565783525944,153.5274524118539,0.1398568224955636
7,7,-809.423766354748,0.023631103486003908,-347.69260731236636,0.4605050903671268,-94.35010938580001,0.7060120145056766,150.91103484735712,0.13961714312122459
8,8,-616.4130445537966,0.0005648573280098633,-362.7821898948024,0.372928539382813,-98.11134082946994,0.6669903997292628,158.41057125402503,0.1802697707603652
9,9,-636.3836751161151,0.008564086837044507,-352.53048690941887,0.39714410091139535,-100.66591121223131,0.6897894885918072,140.52580520016272,0.17076307436425178
10,10,-690.2070875673309,0.017102964360753373,-334.7710786196819,0.40406387052405024,-36.345364739063754,0.6870293617255464,163.83314212512093,0.16279676560766002
11,11,-606.1869157651731,0.0006327998193472236,-386.088591302232,0.3329517297538916,-74.7787373023926,0.6888777584118054,159.9082039353692,0.1929305653439206
12,12,-614.1753521149027,0.017856197667548437,-378.8653775756479,0.35606293581307497,-102.72867164403334,0.6991484074091271,134.23686753072613,0.17222667945176143
13,13,-561.1846031942483,0.01213809518063051,-327.5919641939791,0.3707670358337901,-69.49402321234666,0.7021882481219855,145.39695485190038,0.1893369901671766
14,14,-588.087594753109,0.027842651302546137,-369.74533985496544,0.3396787806911396,-62.555237788681744,0.704041766938767,148.51553444491495,0.18768459396909498
15,15,-788.8576146489614,0.017713513758999502,-360.5883091886618,0.4670660285273177,-72.81741855808487,0.7123849129038216,151.91723257337807,0.13554844127365198
16,16,-561.8085545014584,0.009498338377939917,-362.4831243043391,0.3222738416311679,-64.66926984221449,0.715966185980794,151.9326115146277,0.20300003487092538
17,17,-616.4130445537966,0.000990675349145797,-352.61525811062717,0.35595583677853304,-28.923244605313396,0.7210574583922876,146.01889665993824,0.16953642384087464
18,18,-601.5209771100691,0.0037457570456831514,-327.2372821240369,0.39334606224144186,-49.601988722756374,0.7456564605144232,146.16151909942556,0.1769565552177035
19,19,-588.3744531986316,0.03249298111949935,-348.0842358593726,0.3974665400790779,-108.61258045571545,0.7322552048886959,147.3156401598443,0.20635882124249963
20,20,-673.4846790631938,0.00994192567056568,-358.48964588882757,0.42834518010378125,-84.87636659881575,0.7393841090922232,147.85435171159347,0.17498254667215363
21,21,-608.735819139087,0.08076586999326657,-362.7029018752493,0.41079251305914743,-120.01145465578848,0.7426995899654617,125.01877631579926,0.17641142252224587
22,22,-621.615061754906,0.02510755128782683,-376.8982882365267,0.38225371933159563,-93.68635211812727,0.74791469980892,151.10406321629964,0.2018150847283778
23,23,-628.5836578126921,0.005738587865685495,-351.5236505792275,0.4049210614876702,-82.04331859800782,0.7532050673363393,142.16262841460141,0.187657802145304
24,24,-614.5060486784555,0.025190556246554342,-355.6343003233278,0.3995462363382473,-92.10673553925493,0.761222327257926,152.10287121067458,0.20499763456056638
