gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-672.8701557760893,0.07705742033410844,-398.6939567378188,0.31701559629572146,-89.30759727899063,0.5765879397080392,173.82340554233292,0.14716576052007016
1,1,-712.5125967206098,-0.016829878065729224,-403.8496963870204,0.3422012390474152,-22.263634993446647,0.8224242792912996,199.6026492609451,0.2026096186419103
2,2,-723.9892280515865,0.005849118321158633,-377.0485296214567,0.32913470344595164,-88.19564374567494,0.6213021145125021,199.18446863004695,0.17478952380688145
3,3,-785.7831274174314,0.03661478354058105,-396.02116434598383,0.41946128440084834,-93.78330852382089,1.0170018533990934,182.36557417653825,0.19853652880010625
4,4,-780.7079056962925,0.030541156451216734,-415.6768641827093,0.39624241646567043,3.347619769923947,0.7764701728551463,182.30504502202646,0.1752262317077777
5,5,-751.4129185870756,0.0441998499440055,-421.0879220267377,0.3574604659919421,-65.96972128613878,0.6540853339650856,182.71745023814427,0.1563548004310647
6,6,-722.1161188569545,0.04054342322969182,-453.2750871193442,0.3280912089259011,-100.33882704151806,0.6892293585911431,151.8290807298581,0.15764454995221636
7,7,-859.938181251145,-0.16907921443886273,-432.5662304539146,0.387823038280517,-19.20133033378514,0.8574072067617288,176.40638375517264,0.2059824148500456
8,8,-771.3704268367192,0.12375436402426354,-458.93291998161754,0.41502643777308934,-86.33880407866725,0.7391746725748676,166.5220037778026,0.1623524970753095
9,9,-874.2483236694115,-0.0985130530407501,-391.01134474451226,0.4657364631118842,-26.669436203901927,0.8612497152217633,207.02308872911175,0.22599810096933004
10,10,-712.7777563641616,0.1639556525342842,-386.9034535035202,0.49469791435940347,-100.18111350477385,0.7479892215078782,179.82591096806712,0.16941454686058185
11,11,-718.6278696923896,0.006413844724618696,-396.6568717414917,0.4312348310732982,-100.18111350477385,0.8187411976500517,165.77384015260841,0.21514538534907335
12,12,-713.035000239889,0.017534060630854338,-419.4828160969128,0.4343143737246962,-100.33882704151806,0.843531978306837,161.30624472872736,0.21013551143692574
13,13,-794.8097044122452,-0.10593493678480417,-412.511706995353,0.45818245913885214,-32.84907101079562,0.9418668732449386,180.5714011778553,0.2339835385072872
14,14,-883.2339827240454,-0.09244937459967599,-408.1014987147898,0.4453643027946505,-100.33882704151806,0.7825114387353509,189.03735651102048,0.20954877021472793
15,15,-712.5125967206098,0.1930324004368188,-415.16237066004913,0.527784135384385,-65.91072773592015,0.9104002684118215,177.2330332914708,0.19423633037488222
16,16,-680.4538945628619,0.06048204003611567,-420.79118644499414,0.4344095566546157,-82.01121292032842,0.8714333818095436,157.1348366707987,0.2064723231373586
17,17,-712.7777563641616,-0.045801684239283574,-406.7539922355138,0.4449094395549622,-61.15441464109517,0.9313816099864299,165.57143864005644,0.23200807448257943
18,18,-740.3686911829485,0.004540429957265583,-463.6398373876442,0.35845247655250306,-82.41651888020358,0.8703999151112606,151.06508357702674,0.20276784013059035
19,19,-727.3486097129727,0.03349159037186151,-435.8018325768668,0.42950270406710594,61.28711379010349,1.0977694774542082,192.85206132219642,0.26256615520762877
20,20,-800.6357909300567,-0.06702223990607685,-382.71804880327124,0.4118044808285593,-26.52120797401385,0.8118160588822853,207.380071213205,0.23539517151476788
21,21,-712.5125967206098,0.11150713784873961,-413.4029797140917,0.4764132201126299,-81.53542724826913,0.8630095776099261,178.87320410015877,0.20805205220607592
22,22,-703.1393899239147,0.02537520002864367,-432.95010157579594,0.42300134348944596,-99.64602073940773,0.9008339642674652,167.68902739976556,0.24100866944893057
23,23,-712.6800506781997,-0.006320290136762236,-436.3928504913581,0.4320094331641037,-41.12717077522921,1.0319472121866722,178.15029274393763,0.27111257506954123
24,24,-850.551546784873,-0.1752464416812533,-460.3455905862604,0.3595741152629251,-95.51899441604102,0.8617595405548504,185.36187227436238,0.255996627312018
25,25,-713.3208621163413,0.17504285282519033,-447.00126173079434,0.5186176257837235,-51.08416108601117,0.9995712487579729,183.06550010043526,0.22616365705223485
26,26,-712.5125967206098,0.0017755738840122025,-449.5198182338431,0.38045630709974,-21.18333833417905,0.9894931822570904,189.4119650137701,0.2684997544941396
27,27,-729.3198225475522,-0.015168664645217758,-411.9250836974071,0.421703975053548,-88.47112061445965,0.8611614254705484,178.05681507931658,0.24310770050318722
28,28,-712.5125967206098,0.02645946040841861,-407.94603769562224,0.48558385894331246,30.44702103233894,1.1302757737679527,204.01343053600442,0.2993663533011031
29,29,-713.3208621163413,-0.0010385534907771565,-463.40788549393096,0.32530206476895734,-100.56022193151183,0.7883891174082066,155.98763286392614,0.1988783941188943
30,30,-713.3208621163413,0.0015560701689033092,-467.0040804987256,0.3902443115250598,-92.78812503647345,0.9733748670056979,185.95481695355542,0.2894762832429942
31,31,-739.7005342745082,-0.0380157661442341,-384.2075664663865,0.5144393423452894,-99.25236033921117,0.9542616456838823,189.79595593073174,0.29264754415870814
32,32,-712.5125967206098,0.04232115554406534,-407.04507280538456,0.50577178612261,-24.759756744010186,1.078201958142289,184.32653530077567,0.27666204156588486
33,33,-989.6284873213972,-0.3894252163992797,-389.8949228126744,0.46015827890765526,-53.165275694307155,0.9298531421279895,202.0838686225347,0.2829007864893629
34,34,-877.868129981966,0.11926857812543791,-418.3770639041921,0.5942837222606299,-13.551791923533315,1.0136413882692372,176.5481095011324,0.1823843512676839
35,35,-712.7964849341923,0.1866144478067316,-413.1832580990803,0.5294393030523635,-53.35249526854127,0.9294768492232383,176.21658301209337,0.19485794946254575
36,36,-757.5619219860383,-0.06601617878641594,-382.4864476357678,0.4903923486926962,-92.89453225077638,0.9174425579294262,177.11161102217582,0.2609784259875389
37,37,-788.85112487672,-0.04278764628967206,-355.4019786877397,0.5936288260295333,16.918460089099465,1.138940819388854,201.34898524135946,0.29536572427319385
38,38,-666.7532924193491,0.1494970602854024,-362.511723934138,0.5194234923393537,12.57001764100771,0.9746349964938211,185.35269761835906,0.22480281735504812
