gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-731.9764218171364,0.1048658181709633,-396.6427848914009,0.3535525704445914,2.20056918381205,0.7172221705975097,187.1163263183772,0.17519991066581103
1,1,-688.3907310343961,0.3578109093467909,-341.82142325581117,0.5364989402247932,2.20056918381205,0.7699265252621263,199.57711809392833,0.08264693289350984
2,2,-581.9962913563783,0.2901723327131318,-285.06855698913193,0.5427118405353,-30.330974606960027,0.7305157143780483,189.71801615458867,0.0891473186001082
3,3,-568.4696414432342,0.3070024355433987,-174.53849917087734,0.6073880531297158,-10.496870134658922,0.7631115545658056,116.91481499486844,0.10705454126139627
4,4,-504.11415429683956,0.24562597605525008,-114.92286188601821,0.6835668103152928,-10.496870134658922,0.7571716754644444,73.78569485454595,0.07374268441485161
5,5,-493.2975205451359,0.16811436349812997,-102.24528441216361,0.719963988896962,-10.496870134658922,0.7988266975137039,51.9305432749031,0.07413543681034651
6,6,-197.49070560125975,0.5087572225052626,-89.05180125037366,0.7575220312398672,-10.496870134658922,0.826364363542678,27.96759297274589,0.04824463473845122
7,7,-113.80365596178075,0.4274485311578103,-76.6117307157161,0.6595880310286182,92.11247350843657,1.3372277032006075,29.272062832821156,0.10266865440369684
8,8,-410.23884009164976,-1.2481647071861606,-69.58728582972175,0.2661033340137835,92.11247350843657,0.8841872214288957,64.794331328594,0.2606666805252795
9,9,-423.88296790426733,-0.01308627933245206,-57.402040805275604,0.668924291705257,92.11247350843657,0.9008206670670481,61.37013696034062,0.10140992260971077
10,10,-100.33882704151806,0.6088190194774423,-42.53117897903826,0.7116109986406436,92.11247350843657,0.9187988300580324,29.58813743385514,0.03935466913240723
