gen,gen,min,avg,max,std
0,0,-503.17664914690585,-271.3454520373506,-101.60183464866348,133.918776111344
1,1,-480.89757371714126,-229.20296628461875,-87.25615117502359,122.40658819550042
2,2,-452.9943167873366,-213.42143204268578,-0.9840970624608095,118.00856943815806
3,3,-412.3233998687433,-186.60151061935076,-0.9840970624608095,96.13221414505936
4,4,-338.91890944147576,-162.86541528548364,-0.9840970624608095,89.0886444499623
5,5,-338.91890944147576,-156.0931886030459,-0.9840970624608095,92.7321707927509
6,6,-307.8785116007803,-128.79692875936584,-0.9840970624608095,61.220802893838524
7,7,-307.8785116007803,-117.39949223906902,-0.9840970624608095,63.978800316962754
8,8,-307.8785116007803,-105.56935130479368,-0.9840970624608095,61.03704328090684
9,9,-125.80270575087894,-93.38284810840335,-0.9840970624608095,39.6743767839226
