gen,gen,min,avg,max,std
0,0,-706.9424427486147,-387.5114574286156,-111.94066960544501,197.69065927887607
1,1,-706.9424427486147,-266.6265846479718,-58.68368377858133,152.88373876217605
2,2,-470.3946727379905,-228.3262235014744,-27.627137256437255,111.7292932309983
3,3,-391.0455250602037,-183.91328511712675,-27.627137256437255,108.08985020050899
4,4,-391.0455250602037,-167.34138893735548,-27.627137256437255,105.11931825771565
5,5,-316.1072647505385,-144.0071738324468,-27.627137256437255,81.68450292318161
6,6,-316.1072647505385,-114.18928473764787,-27.627137256437255,75.98173206220432
7,7,-316.1072647505385,-108.95443449772374,-18.910971749543148,53.29144025793163
8,8,-136.80427188538337,-98.03287288942454,-18.910971749543148,48.85311686226776
9,9,-136.80427188538337,-80.96184528240546,-27.627137256437255,50.68750170050784
10,10,-136.80427188538337,-64.71933862875694,-11.418257342217478,50.14924591530891
11,11,-136.80427188538337,-60.138147245609304,21.299120466441725,50.954706642720524
12,12,-136.80427188538337,-54.31738188242155,21.299120466441725,50.33114958464141
13,13,-136.80427188538337,-36.994013542722605,74.92343426096016,48.70824943389848
14,14,-136.80427188538337,-33.64950689176551,74.92343426096016,47.80875664631335
15,15,-136.80427188538337,-33.633117141314706,66.7539218322795,46.5690650226262
16,16,-136.80427188538337,-8.272681251687054,104.38811796848313,62.277222871848075
17,17,-136.80427188538337,3.297796244229677,95.51694765278228,51.15468250480531
18,18,-136.80427188538337,17.218423400902907,95.51694765278228,48.826576532952274
19,19,-136.80427188538337,24.1970099269478,95.51694765278228,48.91203435698748
20,20,-136.80427188538337,47.181761345511475,125.27402208366281,49.5708591709323
21,21,-19.597897815007943,64.97008803788597,125.27402208366281,35.075637761414185
22,22,3.456317960743893,65.79621231587238,125.27402208366281,33.68522054363084
23,23,3.456317960743893,71.21339255916878,125.27402208366281,31.69339603250553
24,24,3.456317960743893,71.65481539416332,125.27402208366281,34.525125089156695
25,25,21.58555760778242,76.68140874027503,125.27402208366281,32.722428808525535
26,26,31.058146767722693,87.50493903299706,125.27402208366281,30.000918365553233
27,27,31.058146767722693,86.7547257222138,125.27402208366281,30.658727703311076
28,28,31.058146767722693,97.4452371749529,125.27402208366281,29.716810338624178
29,29,31.058146767722693,99.38204473127743,125.3610275386334,27.071846891877186
30,30,31.058146767722693,101.6713005633617,125.3610275386334,28.513379807046245
31,31,31.058146767722693,102.56205767278686,125.3610275386334,30.78102839376391
32,32,31.058146767722693,104.40881132964707,125.9980443890679,29.231987011338283
33,33,31.058146767722693,104.6827655764379,125.9980443890679,31.50206083940756
34,34,31.058146767722693,106.76000294363946,127.12971491180906,29.78548944716127
35,35,31.058146767722693,103.78631844682143,132.08759112949653,33.25943302116974
36,36,31.058146767722693,106.25731766564691,127.12971491180906,31.942437369460244
37,37,31.058146767722693,103.52360254110674,128.9508291662896,33.35979352692224
38,38,31.058146767722693,106.80625034571726,127.12971491180906,34.14922749599466
39,39,31.058146767722693,109.36042400428215,127.12971491180906,32.63671317191568
40,40,31.058146767722693,111.95140488279061,127.12971491180906,32.96067558453477
41,41,31.058146767722693,110.69035672195409,127.64834270244876,34.94734226119397
42,42,31.058146767722693,118.63643449882383,127.12971491180906,25.23521072559565
43,43,31.058146767722693,118.59835159516543,127.12971491180906,25.242068586732465
44,44,31.058146767722693,120.57629093249874,127.12971491180906,22.691660926241266
45,45,31.058146767722693,120.57112798009517,128.9894087439864,22.676181368198097
46,46,31.058146767722693,124.55828640546342,130.02141468706512,13.480074734602734
47,47,31.058146767722693,124.53090024773287,130.02141468706512,13.471862680400712
48,48,31.058146767722693,124.63048159620622,128.9894087439864,13.40253149559848
49,49,125.27402208366281,126.83593265449461,136.76346463807138,1.873811650611858
