gen,gen,min,avg,max,std
0,0,-616.4130445537966,-383.20244109976505,-125.80270575087894,144.0042264030211
1,1,-490.6938661765007,-245.9301998655104,-116.8270343254871,133.23201075700516
2,2,-414.7018021983452,-150.17896413937353,-116.8270343254871,53.0238637169311
3,3,-231.8786078232256,-130.70980354445248,-116.8270343254871,20.911661507302803
4,4,-139.21928083501552,-123.54266438403293,-116.8270343254871,3.294198302236306
5,5,-135.87459608810823,-118.96953407725526,-41.94712265619642,13.728660866000338
6,6,-352.3911532400216,-121.33331460577232,-29.02263651502193,29.977767035985476
7,7,-128.61925672358507,-116.22867232911265,-29.02263651502193,11.274629548383473
8,8,-208.36877705115572,-114.63389149487229,-87.17447996093397,14.550541961861763
9,9,-150.17740114661845,-105.24800495467757,-26.829203825765205,15.681243165395887
10,10,-350.9471855409315,-102.94790280341846,-26.829203825765205,36.754174309294136
