gen,gen,min,avg,max,std
0,0,-651.8941279460187,-363.64333256894236,-59.41604352711656,201.0828828105228
1,1,-588.5523089787683,-289.96013194418674,-59.41604352711656,187.5881720132549
2,2,-563.0691109489167,-243.71073689565372,-59.41604352711656,154.19069129979047
3,3,-500.67877373184797,-216.74925495155935,-59.41604352711656,114.19124933497488
4,4,-464.005178199431,-193.98681365467658,-59.41604352711656,94.16364482253789
5,5,-464.005178199431,-165.02101482033876,-23.689001300187524,103.09818656093772
6,6,-417.5176062522462,-162.43766666788747,-23.689001300187524,76.01326536444503
7,7,-417.5176062522462,-161.10589259122068,-23.689001300187524,86.02288707641941
8,8,-417.5176062522462,-150.99542098468152,-25.472049561098174,69.28000999383745
9,9,-417.5176062522462,-140.33083712170452,-67.84393357646185,63.195719161149384
10,10,-243.7170991956234,-135.6330530999099,-67.84393357646185,36.4534967144958
11,11,-258.09155830245123,-139.41649688211433,-50.07809533187744,43.82500448011673
12,12,-177.7193575016394,-130.62715168703477,-23.689001300187524,27.09083720311261
13,13,-177.7193575016394,-125.19438100824782,-23.689001300187524,29.229282631721333
14,14,-177.7193575016394,-123.69792737811808,-23.689001300187524,36.555322585165975
15,15,-559.5070929745921,-145.13462077207882,-23.689001300187524,103.40812117192947
16,16,-559.5070929745921,-176.91160789148927,-23.689001300187524,149.143221849015
17,17,-559.5070929745921,-164.40032865075293,-23.689001300187524,137.01977354200255
18,18,-559.5070929745921,-154.44344630047445,-7.3834181433662,122.90200938323323
19,19,-559.5070929745921,-163.18763626291118,-7.3834181433662,139.8449822233567
20,20,-559.5070929745921,-152.49412705811613,-7.3834181433662,141.94089748479487
21,21,-559.5070929745921,-113.3313938131738,-7.3834181433662,82.5606190847442
22,22,-464.005178199431,-106.32590402069543,-15.153264280601235,70.48206571787499
23,23,-464.005178199431,-93.58269749468562,-15.153264280601235,72.10395609380721
24,24,-464.005178199431,-108.18639366140042,-15.153264280601235,91.66496651036746
25,25,-559.5070929745921,-112.77393338679364,34.25835551749541,102.60784530040132
26,26,-559.5070929745921,-128.25980897376587,-23.871024022549175,112.08270718533842
27,27,-242.9378434365377,-97.5938254363106,-23.689001300187524,48.687454880236096
28,28,-203.71995435827287,-89.49120092744195,-23.689001300187524,45.61162603475625
29,29,-151.15759888118652,-90.15696290330928,-23.689001300187524,37.76358911061032
30,30,-151.15759888118652,-95.96963435968702,-23.689001300187524,34.61963594566676
31,31,-151.15759888118652,-98.27213663461023,-23.689001300187524,35.370606052927286
32,32,-151.15759888118652,-95.98164850718233,-25.472049561098174,35.30209544234507
33,33,-151.15759888118652,-100.32240256690599,-49.43112006274517,28.082745653222396
34,34,-151.15759888118652,-104.30391381528668,-49.43112006274517,26.46027707899634
35,35,-151.15759888118652,-104.92715789064314,-47.33369650130154,24.83710040009365
36,36,-258.09155830245123,-107.73095863294027,-47.33369650130154,42.36555765968798
37,37,-258.09155830245123,-113.02716106964877,-47.33369650130154,45.253487958720186
38,38,-559.5070929745921,-126.07363839138831,-50.07809533187744,100.60037531564235
39,39,-261.8669009177119,-113.31035700329751,-85.07941358882069,26.256023253309955
40,40,-134.4558676997299,-109.28130677868755,-85.07941358882069,11.847592426441633
41,41,-134.4558676997299,-103.34699396174138,-27.31464480180249,21.96790152603372
42,42,-134.4558676997299,-101.87888023640478,-23.689001300187524,29.14007452348774
43,43,-134.4558676997299,-96.96269451531847,-23.689001300187524,33.32904570649114
44,44,-121.23532731638477,-90.5212174149829,-23.689001300187524,37.69446876726038
45,45,-121.23532731638477,-86.47358660955145,-23.689001300187524,40.14277123302278
46,46,-143.87423717466655,-76.63088142245151,-16.627534255783193,44.648876350913255
47,47,-143.87423717466655,-70.95886228193031,-11.625665400946671,44.75429479747786
48,48,-143.87423717466655,-63.17075822326605,-19.366573391717864,38.20774189546958
49,49,-143.87423717466655,-82.41555429702127,-10.130776428593151,36.981246409105445
50,50,-143.87423717466655,-83.17361185991219,-10.130776428593151,38.24682353431237
51,51,-143.87423717466655,-90.24303809931311,-10.130776428593151,38.03738122989691
52,52,-143.87423717466655,-82.42551931529017,27.19054928515213,46.078637512601695
53,53,-143.87423717466655,-73.90730876052751,27.19054928515213,48.980285360259536
54,54,-143.87423717466655,-76.15268128477568,1.911995564739911,46.40934477299773
55,55,-143.87423717466655,-79.14857137788533,-7.3834181433662,43.380219855448885
56,56,-136.80427188538337,-70.80614339510907,-7.3834181433662,45.61972069124936
57,57,-133.84643622077965,-65.88808417166993,-7.3834181433662,48.60753579936954
58,58,-133.84643622077965,-77.06364907049812,10.115954317324066,49.83772204515125
59,59,-143.87423717466655,-76.47333903848661,-7.3834181433662,49.93793790854997
