gen,gen,min,avg,max,std
0,0,-682.8956919425092,-430.69316094992354,-67.55989145949644,185.75877510443112
1,1,-486.342719175445,-216.44658310235914,5.619846534322799,125.57111352843775
2,2,-481.40379433490233,-159.81292330081442,5.619846534322799,104.26388677887805
3,3,-433.17352566903105,-125.30178559217141,16.66869168402437,90.56749517357463
4,4,-335.2955728441096,-109.69878953000106,16.66869168402437,69.20844813775507
5,5,-494.3398431962568,-83.03844943779673,16.66869168402437,70.92406287818011
6,6,-470.3785532018482,-75.01432593193249,21.889475718569827,90.21567010061091
7,7,-171.1799729507342,-52.50750222827293,21.684143581004452,46.91166995091259
8,8,-550.1758221786739,-71.72295075712088,21.684143581004452,86.07664522508675
9,9,-182.4535879530902,-39.605447096193565,52.16557993082099,55.70362775675809
10,10,-205.06827162928948,-12.978589361304161,72.45885109641675,56.58357227479456
11,11,-375.07315282116207,12.069655709562769,72.45885109641675,67.16282418698637
12,12,-58.86387147936377,29.995505224838794,72.45885109641675,34.299954977639615
13,13,-108.11059004923516,44.7499674730059,100.03819301982124,42.238328329606674
14,14,-32.251427016662795,57.368431480672434,103.88916262495685,35.207378770229695
15,15,-14.385416664400404,68.70404769824249,100.03819301982124,24.97620671458861
16,16,-37.32364720297505,75.29136126634855,102.51587159680624,29.096494952154604
17,17,23.910342826117546,79.3810015492876,102.51587159680624,21.00206186315771
18,18,-13.405478033190127,91.45552469819079,109.45123630450627,18.028974735626377
19,19,81.99922480948776,102.83843923043476,116.99025160523935,7.814312825125457
20,20,67.15302528923696,105.91032032840896,118.62564834973362,9.570011190302957
21,21,86.37099823648855,107.19055725235005,118.62564834973362,7.781795029985483
22,22,63.508910522278114,110.65516515055532,120.56870177489982,9.04085351772047
23,23,61.61607655408155,111.43222362721437,126.16482263921394,11.118462895793458
24,24,94.80023725251543,114.91979103464232,130.93368070047146,7.491584892835425
25,25,90.00233618215896,116.2740150410485,130.93368070047146,7.294855628752716
26,26,27.16922249146118,113.95366926885124,126.16482263921394,16.116277992725333
27,27,84.7330908317103,118.1178065919719,126.16482263921394,8.208112981943502
28,28,92.58675232112678,122.91619106222457,126.96408755563527,6.18642683302548
29,29,112.75022482000718,126.04098862011806,126.96408755563527,1.9552849189811505
30,30,126.16482263921394,126.87436845995167,134.3231357340404,1.5699742719497727
31,31,126.16482263921394,127.88202334937544,134.3231357340404,2.6131630871880853
32,32,126.96408755563527,128.87744008202063,134.3231357340404,3.227930534215021
33,33,126.96408755563527,130.49643068126974,134.3231357340404,3.6765792915405875
34,34,126.96408755563527,133.58723091619987,134.3231357340404,2.207714453521535
35,35,134.3231357340404,134.3231357340404,134.3231357340404,0.0
36,36,134.3231357340404,134.3231357340404,134.3231357340404,0.0
37,37,134.3231357340404,134.3231357340404,134.3231357340404,0.0
38,38,134.3231357340404,134.3231357340404,134.3231357340404,0.0
39,39,134.3231357340404,134.3231357340404,134.3231357340404,0.0
40,40,134.3231357340404,134.3231357340404,134.3231357340404,0.0
41,41,134.3231357340404,134.3231357340404,134.3231357340404,0.0
42,42,134.3231357340404,134.3231357340404,134.3231357340404,0.0
43,43,134.3231357340404,134.3231357340404,134.3231357340404,0.0
44,44,134.3231357340404,134.3231357340404,134.3231357340404,0.0
45,45,134.3231357340404,134.3231357340404,134.3231357340404,0.0
46,46,134.3231357340404,134.3231357340404,134.3231357340404,0.0
47,47,134.3231357340404,134.3231357340404,134.3231357340404,0.0
48,48,134.3231357340404,134.3231357340404,134.3231357340404,0.0
49,49,134.3231357340404,134.3231357340404,134.3231357340404,0.0
50,50,134.3231357340404,134.3231357340404,134.3231357340404,0.0
