gen,gen,min,avg,max,std
0,0,-731.9764218171364,-410.1476546555469,2.20056918381205,187.0207025243115
1,1,-601.2088560457613,-218.83445538965674,2.20056918381205,135.72810772622594
2,2,-421.7432864052715,-139.65131023581483,2.20056918381205,77.89508629281508
3,3,-413.9214307880672,-96.13257265889946,2.20056918381205,61.840483675681725
4,4,-169.14268146521673,-79.5376136568333,2.20056918381205,34.07873053926507
5,5,-100.33882704151806,-73.01041220644308,2.20056918381205,30.36751425545443
6,6,-158.49996252012315,-64.37461851714158,2.20056918381205,32.449066852266995
7,7,-509.5970634206233,-67.50995067840407,2.20056918381205,60.28400916054598
8,8,-118.487904934261,-46.74860279116324,2.20056918381205,22.387266744891775
9,9,-529.8606397307204,-45.65643087450755,26.511001668988644,64.73781352052728
10,10,-114.79157824176832,-25.90401079851243,67.14299175427223,31.26347818956607
11,11,-114.79157824176832,0.4172920634940326,76.34194828210504,39.27605013989636
12,12,-98.26723185907285,31.0942075029903,89.05114327206093,34.27997283132414
13,13,-28.810743696171965,56.497975516665896,105.19188330053056,28.11797599458381
14,14,6.236846432072217,78.64641007462397,112.85714854912868,22.514948847746485
15,15,34.20010653211176,88.05254859134827,112.85714854912868,16.230742016143743
16,16,57.664660738537115,94.55609344588494,112.85714854912868,11.949984317184633
17,17,65.09446496191835,99.16397647342711,112.85714854912868,9.244937301520688
18,18,62.1114079402145,105.2602326382289,129.6033614741839,7.9768579542647
19,19,101.67757797606903,107.17898468590046,129.6033614741839,5.256040680572
20,20,101.67757797606903,107.88599996984362,129.6033614741839,5.071281470242587
21,21,105.83036569845284,109.44895254502305,129.6033614741839,6.519551011954041
22,22,105.83036569845284,112.07406514490455,129.6033614741839,8.412566840331259
23,23,105.83036569845284,114.09546123040958,129.6033614741839,8.61868721701217
24,24,100.0336388201424,117.22727126821815,132.607944597971,9.468595489246399
25,25,108.49690450596847,123.17024914575738,132.607944597971,8.109900341009148
26,26,111.61733192802141,128.47441571497708,133.664292879531,4.852736136932358
27,27,120.54026935971667,130.8947067367301,133.664292879531,2.0919575209834766
28,28,129.6033614741839,131.98228447784004,133.664292879531,1.3361869428946067
29,29,129.6033614741839,132.73159762827396,133.664292879531,0.6798388107514172
30,30,132.607944597971,133.01273613000726,133.664292879531,0.5109819741459949
31,31,132.607944597971,133.2835062321824,133.664292879531,0.503683846550178
32,32,132.607944597971,133.54268166468805,133.664292879531,0.3358479089213307
33,33,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
34,34,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
35,35,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
36,36,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
37,37,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
38,38,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
39,39,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
40,40,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
41,41,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
42,42,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
43,43,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
44,44,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
45,45,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
46,46,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
47,47,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
48,48,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
49,49,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
50,50,133.664292879531,133.66429287953105,133.664292879531,5.684341886080802e-14
