gen,gen,min,avg,max,std
0,0,-766.7667306401339,-500.53309787360007,-59.41604352711656,202.58500821243732
1,1,-706.9424427486147,-311.8061059699925,-59.41604352711656,169.45508272233255
2,2,-537.5860848381473,-224.6553621804194,-59.41604352711656,120.64674341465373
3,3,-420.121806404458,-170.1555208672796,-59.41604352711656,86.810811878511
4,4,-443.0470163082805,-125.87696032613161,-23.124297497029005,67.6786800060953
5,5,-371.6935005328931,-106.49367716173793,-23.124297497029005,57.993433988584826
6,6,-454.3279811753852,-97.21847468249928,-19.347113132060475,72.7069140062968
7,7,-454.3279811753852,-75.82677025240491,-19.347113132060475,65.25058427647028
8,8,-454.3279811753852,-64.01248704714409,-19.347113132060475,68.24727686113204
9,9,-136.90000358547516,-44.666359174625065,-19.347113132060475,27.1114036382352
10,10,-241.22396052416045,-39.879038832806984,-19.347113132060475,38.096742112920474
