gen,gen,min,avg,max,std
0,0,-731.9764218171364,-444.134703813699,-100.56022193151183,178.00207130198297
1,1,-572.4408080041509,-308.47424814494326,-100.56022193151183,153.85851369255082
2,2,-513.8792732055803,-190.8500385354096,-63.613285995151934,105.43266538020312
3,3,-322.16694488225374,-134.9215484628401,-63.613285995151934,60.32343482311632
4,4,-317.95926290769734,-119.98943482383629,-61.500477248130146,54.16499578177364
5,5,-192.1150926901618,-99.86987631082732,-52.55495413630217,23.797261074003213
6,6,-222.88336080712043,-92.39076650727317,-52.55495413630217,28.363166656021406
7,7,-208.16628533960935,-83.68135764492374,-18.519196505035016,37.20566140263285
8,8,-247.61394619004773,-80.83697779241736,-19.87532181010885,44.89910231471134
9,9,-438.7577087380076,-85.06034813555964,-19.87532181010885,67.38896773444912
10,10,-100.57478741196856,-66.02791126077815,-19.87532181010885,24.766384996464602
