gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-808.1932032483077,0.21278466299496085,-454.3454744583676,0.29149992041010564,-7.14033602293362,0.427161760644444,193.43976912189322,0.06810147361181897
1,1,-701.1698852176347,0.1932803643974869,-426.23960068332707,0.26896927684933675,-139.30365434384086,0.4722581079612878,169.8952106723386,0.07075821043997739
2,2,-944.3114397050825,0.18600740980190061,-400.6593102408743,0.26622081547003984,-121.38189549682573,0.5083639105188715,203.9173385723636,0.08592590419202215
3,3,-804.6339312456224,0.18677634690360276,-440.3371445782807,0.26146074040758577,-52.46961561079585,0.5355604654539251,177.37044177560614,0.0835209411108719
4,4,-718.9039710092751,0.22940709188691938,-448.58740224552673,0.3150135106411492,-17.02117852308348,0.5653257603159206,183.0288470513418,0.09761037766437987
5,5,-720.0291623952367,0.21905456399454687,-419.1160792015988,0.3077878021653773,-64.90377903156114,0.4588928235110506,202.0474548087114,0.08437847081538132
6,6,-712.3003117261047,0.19412958520633436,-385.12217640760554,0.27658227851609113,-30.390464851645945,0.4488387171191776,208.77995692384218,0.08912764149299897
7,7,-666.9840856965869,0.18692030296330736,-355.80011638493175,0.2697899449374523,-36.36938531283211,0.42144101748662266,182.35386290117947,0.0795195635646748
8,8,-681.5757145465071,0.2168315882784021,-437.29017559158086,0.3005560609211841,-125.5850117298827,0.4694628510132442,163.01544621017945,0.07844160262195736
9,9,-757.1954165370612,0.18685639749122543,-424.1917932694435,0.273344521578714,-84.51059515206241,0.5361782315611417,194.5110650364391,0.09656950510081863
