gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-692.2792179446473,0.2205044932770138,-420.13578916498443,0.30505947875264555,-57.914085373664875,0.5302608511946626,187.5552161690531,0.07788328461413781
1,1,-666.9840856965869,0.18089199289191338,-445.50922451715246,0.27756715622245626,-70.68752062811106,0.5287673195305723,169.80099888028198,0.09285948172574497
2,2,-666.9840856965869,0.18999734900613047,-480.4075551971231,0.25663876180802725,-48.33020376629404,0.44188613380355896,143.61636611877336,0.06527908567404297
3,3,-691.2737852970477,0.21549666647600157,-436.1994917539271,0.29377195289522123,-139.30365434384086,0.536741276122901,170.24643660370896,0.08335675508594079
4,4,-665.944793965751,0.15871273696928734,-331.23007242944726,0.22249101676843036,-120.15167118425269,0.4558209323784548,182.89881764145724,0.08701842211463104
5,5,-680.3129654846763,0.19142982199018718,-360.4824023937787,0.27563351542822256,-88.3815829111373,0.48861615253382057,174.68276897456596,0.1085712856182251
6,6,-703.4219177068704,0.18009955104679365,-478.5610076214499,0.25530569097289435,-108.8291395689791,0.5038905774817622,186.20271881771768,0.09660094943206916
7,7,-683.9231938563902,0.1624098491284639,-391.18889186183907,0.20198333227985268,-139.30365434384086,0.26652443792966407,205.92519318775584,0.04099750086024117
8,8,-668.0499776684203,0.23109513285766917,-452.39331261674965,0.3019944233688931,-139.30365434384086,0.46492772087185136,174.11019572663844,0.07800427977531742
9,9,-626.7407067160152,0.08697925860859468,-346.04183266715415,0.14914493738486104,-126.92987932428673,0.30537369438273637,184.09764565159645,0.07445267222423935
10,10,-798.6623430898343,0.16021004227450847,-469.13483788980074,0.24719693541571575,-139.30365434384086,0.4860219628063374,136.36190073706504,0.09376469066693595
11,11,-683.1258609254961,0.12976920799127278,-362.33585708092613,0.17470301196405072,31.724193036407502,0.38347508509643535,204.13496926569624,0.06646481600877563
12,12,-461.20313950691985,0.09656468440461309,-280.0556725734232,0.17188167983323485,-63.51455177469097,0.33786711504026173,138.52597046037036,0.08678202676336245
13,13,-675.2286081543942,0.12304510852995519,-400.59453555162116,0.16812877891276942,-139.30365434384086,0.2585093584478772,195.96809431697883,0.049218853588091194
14,14,-672.8579100905043,0.13590008098008016,-469.1164521874623,0.18790458357165876,-139.30365434384086,0.3134604831469542,115.73174032490931,0.06212997754542973
15,15,-596.9297114045128,0.18075405878774792,-312.1605048373077,0.24327227578701285,-88.75527490723688,0.46024857341187414,202.3029337016675,0.07544211996343966
16,16,-684.2114738718329,0.13832855068157046,-221.12543588800503,0.17767066798601336,-82.72446806060817,0.31246174692709666,166.36223598383992,0.05740084444830334
17,17,-575.9788456881153,0.23120645933146775,-511.0582260295377,0.28425281619834075,-131.48486861459904,0.4918656527670006,80.1526859300185,0.06483931003936358
18,18,-583.4165104838286,0.27832214630936125,-464.92039378834414,0.34714759872596884,-91.59153200192054,0.4058033453254193,167.98003434387545,0.05172499930006107
19,19,-628.2242469929138,0.12724693358749126,-357.44949535077086,0.20172670503810633,-115.46868510262902,0.3452904394383593,163.9928420106551,0.08051566477616832
20,20,-604.6586201622553,0.14749118735690106,-452.35475894805387,0.18449293936273498,-274.026475231858,0.24338878385388532,118.48652890892086,0.038312199993239635
21,21,-554.7050659798543,0.12591123504439794,-423.6573155390453,0.16837326023888582,-121.77287361030857,0.375092262566492,134.71970126243022,0.07317842384906643
22,22,-648.7230269749851,0.15879504398967906,-432.9314644125709,0.2353468263655227,-264.76824797080434,0.527347562793537,132.15702332332742,0.10461015619465307
23,23,-666.9840856965869,0.17162763059961966,-390.5829040651537,0.23162231920776535,-56.14348242578871,0.3730944566023621,161.96483615755764,0.08573045522176355
24,24,-739.6206384137959,0.14996987768879894,-408.29391030564443,0.21666131690762294,-106.12946312151769,0.3906389040049686,202.84651171978032,0.07860284520235447
25,25,-669.3474801228512,0.2566974219456974,-414.6231444626171,0.3044158949507987,-140.07318183652276,0.34962147456140713,194.59515729701843,0.0342454881747066
26,26,-603.7879563993288,0.22598722870047364,-439.91990574464995,0.27669600728786276,-120.54963342408132,0.36083582887573956,166.71044965182722,0.05646604410073227
27,27,-620.0102895738354,0.26419325938260907,-513.1106597363428,0.3472589467740927,-316.25627140640654,0.4385172092418697,96.26305178920813,0.07605438875565733
28,28,-527.2413097172919,0.10220504496312265,-387.8187975651165,0.12562467926401494,-200.59842161129816,0.2844654368876093,116.92043237983303,0.04561073307168329
29,29,-571.4049001217944,0.12150869894140114,-415.42034780154677,0.1859440437308826,-199.12896213119043,0.28949941713080785,122.79889689774706,0.06842760898646723
30,30,-579.9558889297483,0.15112215590522807,-442.53824406669156,0.23106121764345502,-214.20718862987255,0.4088717346170343,130.2096586796645,0.11212170740201997
31,31,-576.7102938275167,0.060481912968487574,-413.4792723677566,0.08538681584799054,-95.74376537333008,0.30453112812170496,162.62012683050244,0.06645352237649797
32,32,-576.7102938275167,0.04585326802373981,-388.16595706669136,0.06238920035852424,-95.74376537333008,0.18680901417329387,176.36272780550252,0.034731033485879206
33,33,-579.9558889297483,0.03372774440156113,-386.68438213733185,0.04489307934595906,-96.49745191688724,0.06473517548252598,178.93149026041658,0.013099382731293538
