gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-800.3832731939942,1.9681594085885563,-481.7201602226652,2.8849927950913044,-58.91989479872194,6.74600569452469,211.04442576715968,1.4927964802061824
1,1,-731.449965092908,1.847447461123583,-531.3149253131813,3.8985186082946637,-59.41604352711656,6.74600569452469,202.7192722567808,1.7854141262453038
2,2,-731.449965092908,2.000357757919091,-625.334542165691,4.994134029248432,-131.4474085075352,6.74600569452469,142.1397561558402,1.593477350393696
3,3,-706.9424427486147,3.6608683620109352,-657.8508851245308,5.941186273830807,-374.8408022887652,6.74600569452469,80.7364250560542,0.8428677904963564
4,4,-706.9424427486147,3.7225004176359575,-662.2881692102003,6.134025590010698,-385.7623231859928,6.74600569452469,64.19691590886725,0.6661015397744326
5,5,-706.9424427486147,3.277915829268975,-646.7233062760464,6.278503787275846,-385.7623231859928,6.74600569452469,66.4862052197646,0.6280911167466819
6,6,-706.9424427486147,3.822452221819521,-637.3495628257109,6.445924361095574,-529.520871128784,6.74600569452469,59.03022530572889,0.4241066558992838
7,7,-706.9424427486147,4.175129214373108,-608.9972104827752,6.487458186902542,-122.66321723335467,6.74600569452469,82.33840759539123,0.5257001371081218
8,8,-720.8601945247797,2.3941709974964995,-606.6904915767657,6.524809239632801,-385.7623231859928,6.74600569452469,57.120257648847726,0.6564645107615217
9,9,-706.9424427486147,1.9686322606224593,-595.9047340538065,6.58604373762692,-385.7623231859928,6.74600569452469,49.32873122574979,0.6268174717409477
10,10,-720.8601945247797,3.561661606943741,-587.4717841628596,6.6293371068845905,-385.7623231859928,6.7639317753155845,60.67354418553221,0.4309054005800017
11,11,-755.9434979103147,4.085331750756905,-571.6717358383025,6.6215346126758545,-274.86421141029797,6.7639317753155845,83.41832287909506,0.39930678256982866
12,12,-706.9424427486147,1.921670332387544,-545.9284875806293,6.653396813899623,-385.7623231859928,6.815823128414276,82.84128161741916,0.6225414497619733
13,13,-696.9608102294369,2.0351662791222287,-503.5539191832452,6.617984869738148,-385.7623231859928,6.815823128414276,100.57567437537627,0.7612190888486177
14,14,-632.5004592688889,4.478281949747426,-482.608117433535,6.639731374310758,-385.7623231859928,6.815823128414276,100.31477996287198,0.5005983747092126
15,15,-584.476948856337,4.097368313648515,-471.87199430980866,6.6093094672406085,-385.7623231859928,6.815823128414276,98.47017621043332,0.6030867544992247
16,16,-632.5004592688889,4.196923848377876,-444.4659759798846,6.520772260114048,-385.7623231859928,6.815823128414276,93.87021418661936,0.7036233364292726
17,17,-706.9424427486147,3.860589731024867,-437.92931459159746,6.652991753911336,-385.7623231859928,6.815823128414276,98.10062441040397,0.5408747613340001
18,18,-632.5004592688889,3.3372014970286887,-416.60859015748014,6.719219302916605,-385.7623231859928,6.815823128414276,74.02970762919479,0.4516281850996072
19,19,-632.5004592688889,0.6973539709693819,-398.7624467148393,6.646399271519127,-274.86421141029797,8.047213939810842,58.15104169250854,0.9253392826049542
20,20,-632.5004592688889,0.34050414316947447,-387.6134863715751,6.353866155403002,-131.8524579972168,8.047213939810842,53.402206927280055,1.5903834352407467
21,21,-706.9424427486147,0.8611752380189415,-420.8618462703646,6.287933586193386,-117.39308082098138,8.047213939810842,104.15949778847411,1.8126023651383405
22,22,-706.9424427486147,6.09838044616215,-451.29928509979067,6.885493288608456,-385.7623231859928,8.047213939810842,121.76029305058002,0.3722482122055015
23,23,-706.9424427486147,4.858225950109203,-478.53472208610117,6.976594044617163,-385.7623231859928,8.047213939810842,135.46501005522103,0.4942322554228583
24,24,-706.9424427486147,3.3613528454832444,-540.0674077646572,7.112245556568474,-385.7623231859928,8.047213939810842,138.70640018034706,0.7856815729726031
25,25,-706.9424427486147,1.7931425014885303,-581.4736718899514,7.336589008005732,-385.7623231859928,8.047213939810842,111.30058390146941,1.1691833364175417
26,26,-706.9424427486147,1.2908316287435722,-612.0812575807124,7.439541638457459,-385.7623231859928,8.047213939810842,75.82977018803953,1.2627486421213612
27,27,-706.9424427486147,1.4882342074600732,-601.0754079161469,7.606042001067038,-385.7623231859928,8.047213939810842,70.34478662297796,0.9591383264258518
28,28,-706.9424427486147,1.7583984052797583,-581.6148852622771,7.720098363416572,-385.7623231859928,8.047213939810842,54.788298797372896,1.0469038415702492
29,29,-706.9424427486147,6.498752040365943,-569.121097854842,7.944921943686011,-136.80427188538337,8.047213939810842,72.99805941116142,0.3444731493324822
30,30,-632.5004592688889,1.3287166033322046,-582.0333501535436,7.895441391237998,-389.8375162761682,8.047213939810842,25.765770507353643,0.8880818401785106
31,31,-584.476948856337,7.450915672643767,-581.2329583133344,8.037275635358059,-389.8375162761682,8.047213939810842,24.917564165512033,0.07633756498852998
