gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-706.9424427486147,0.965565199287273,-470.7595937135058,1.9286962090706936,-123.64511463075212,7.043756993799901,167.57020364014764,1.9807671191773402
1,1,-732.4697049636479,1.811613936698244,-452.61981929022784,2.456729114095717,-138.96696157134969,6.198570405258654,204.04624316490657,1.184822648995344
2,2,-706.9424427486147,1.6041461576790055,-459.9397557414059,2.668402385964377,-59.454099722825624,6.359795431602047,219.37341162796574,1.6702124063854416
3,3,-819.7948960380369,1.624574597568108,-416.28421635747094,2.4814208515504284,-63.112172950496564,6.350650005077539,218.27336484461367,1.5706749090162
4,4,-706.9424427486147,2.7674983517454925,-530.8375307713101,3.470961929900034,-136.80427188538337,5.184743838526783,150.71949476336297,0.8608438228795162
5,5,-706.9424427486147,1.8347785291894265,-354.7843004973972,2.8801228350242996,-117.83526369458234,6.368234075691732,217.34652668727975,1.646440514346101
6,6,-716.6551536584634,1.4477815050264793,-507.6448064588414,2.259431403895321,-59.64173562130939,6.576836231446812,196.41245857786825,1.702440511107394
7,7,-592.2840908079439,0.6963297620377189,-315.6762701758798,0.9255293824936623,-78.66655342406507,3.3363646722712694,124.11242295241254,0.611875566845118
8,8,-650.3377821053845,2.4274386461315856,-376.9272659965333,2.9232145804411966,-121.40068178344865,4.506453227532,200.10229397322868,0.6252296075409114
9,9,-585.0997181705725,0.7523875797945097,-396.86611012590237,1.691436219455731,-233.01825836548983,6.666426405616871,129.00096474980919,1.8751862682702718
