gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-731.9764218171364,0.18436660060145604,-410.1476546555469,0.26065068351152537,2.20056918381205,0.44612564828307727,187.0207025243115,0.08556444921231109
1,1,-731.9764218171364,0.19392805571026628,-456.2832256694128,0.3318616908534472,2.20056918381205,0.45021036781128854,202.44283798722813,0.09531400339222364
2,2,-679.1096316506754,0.24366722602391322,-494.90736817324785,0.39919989368819386,-1.1895537768943332,0.4564685190117486,152.9780097315695,0.06591339755972174
3,3,-679.1096316506754,0.26207662177312513,-521.3976854640654,0.4294888082641416,-1.1895537768943332,0.4564685190117486,97.9234582693887,0.040169128156339974
4,4,-679.1096316506754,0.3893944213321082,-523.4979205430708,0.45779428153410484,-264.85348300310375,0.5640102529791232,52.84100702717277,0.03506405193862942
5,5,-679.1096316506754,0.3509461970390339,-518.09616659377,0.47353783186255366,-148.79877473458092,0.5640102529791232,63.06621605660904,0.04802064070095991
6,6,-572.6598534280952,0.45021036781128854,-527.8232933040106,0.4953562647818362,-384.11243864355805,0.5640102529791232,33.23803237035502,0.05246966823998844
7,7,-624.8338030980052,0.45021036781128854,-540.8759757206395,0.525358311862567,-384.11243864355805,0.5640102529791232,24.843308027611144,0.05026140339032936
8,8,-596.7328208635681,0.45021036781128854,-546.9062192944361,0.5558084201427073,-384.11243864355805,0.5640102529791232,21.32494795395285,0.028273744761375987
9,9,-574.3226441357154,0.26207662177312513,-542.5931113557248,0.5624041039738129,-1.1895537768943332,0.715661795980181,65.38200245294236,0.046280222940990864
10,10,-574.3226441357154,0.20536141352211273,-543.2791575897348,0.5801752159905156,2.20056918381205,0.715661795980181,67.18514376076911,0.06893968867422423
