gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-895.3507515249648,0.00561670211309052,-438.75952527608007,0.3729181941978985,-40.474785389750515,0.6737134084721533,189.79991020008478,0.13665770392459037
1,1,-686.52156125505,0.057770045187163686,-407.00991280899785,0.3318191267248255,-97.71851626632512,0.6944582247374578,181.81896272882483,0.17148172078254992
2,2,-667.3278375329628,0.016331779920331205,-468.9392646157836,0.24695166229547078,-66.38384505077171,0.6790244641798325,173.56083926521907,0.1615072298548825
3,3,-781.2769469288147,0.09121037970634631,-465.81541196674095,0.30639233057898174,-125.51214748675714,0.9197033106239739,165.4487269395338,0.17465954796211963
4,4,-690.9427373343242,0.042672766808201236,-478.02767147079703,0.24655027014844338,10.820127166650144,0.7918696185377346,170.70393387402413,0.18992289323536188
5,5,-724.5280320532111,0.058217564079511605,-377.89467136693423,0.21589057491451297,-84.98678320427477,0.8464092013311351,193.88762553057276,0.15980302538180727
6,6,-677.1536333573981,0.02227341180648472,-430.09594347664427,0.24571853954545997,-101.56373789361875,0.8965914010225176,170.46038534781385,0.2004212403757445
7,7,-661.3504782617757,0.024772182485774542,-368.62299610979704,0.22950441864444387,-122.98811827512101,0.9133840815627731,173.89422064378505,0.2347061434160205
8,8,-724.463687654163,0.015395006260992038,-455.8664530949976,0.20855646759663982,-139.30365434384086,0.8983681601074013,170.38812781512695,0.24090983982834865
9,9,-610.2117105426519,0.01076311745977142,-418.64322459347056,0.1963967388863276,-139.30365434384086,0.9279402029399471,156.38761365778822,0.24949405016843618
10,10,-667.1440157465656,0.02953869870021166,-397.96066109814717,0.2823010543112708,-124.89039925205412,0.9380521865284573,172.25689479738037,0.307506189942325
11,11,-666.9840856965869,0.02255848787721697,-389.6883763326108,0.16679597512929314,-125.51572086583678,0.9456060155397212,170.90516304897992,0.21654613019396496
12,12,-667.1440157465656,0.010894757873312833,-452.97095028776346,0.17861947906182457,-39.73119909329957,0.9573871886136175,168.01994251826602,0.23119945512986467
13,13,-671.1508475312665,0.013846057319301316,-406.8063066063638,0.16198029034625616,-95.73302357257732,0.9645446139667069,162.73801270662688,0.2396711080447821
14,14,-739.7236979610689,0.013309981175328185,-424.561608427283,0.20359050249104876,-121.36457801968952,0.969952614966666,168.19893263768068,0.2791081311959269
