gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-891.652201027131,-0.04899280104380684,-411.2514806238096,0.29233176570720915,-67.7462868280873,0.6370691479538123,169.8904278653917,0.1282166010544959
1,1,-737.2329338809741,0.11885585617916589,-420.65338052537663,0.31490657958596324,-69.87000356934949,0.9229964000873379,189.80612912201698,0.14264377427822392
2,2,-753.3774109265529,0.025670848747328896,-423.2034849006992,0.2675428200843685,-32.65524654219987,1.0705327559979965,175.8138057106965,0.16589977566299846
3,3,-905.1438911756446,-0.03900927600056278,-422.7800467525066,0.2189318833483497,-16.58643947669277,0.6999127263197538,199.1287949098488,0.1305373739514314
4,4,-742.6497033307805,0.05782432508585103,-402.85117921976615,0.2867439795447278,-43.812239118003525,0.7114717259568178,176.53784984064077,0.14626495657293517
5,5,-961.9883219902662,-0.043005224769931995,-437.54648066489455,0.29221708847923006,-87.44723319633336,0.7981879687612318,196.13626036948187,0.17024472658211606
6,6,-750.2233357292383,0.06651186368047242,-425.06311670228666,0.2978479071529533,-34.05340285942614,0.8573641956973744,165.2083753833317,0.1493445883727632
7,7,-718.1843115728201,0.047170000993126404,-391.90072960984025,0.3106597911902362,-108.40072400596478,1.1847722284995579,177.0828016553046,0.21589942882243784
8,8,-681.0294248130018,0.02811214090266652,-427.18558765778226,0.26371596170666617,-80.57052636598968,0.9878706971827514,169.09747080893501,0.19260188893465371
9,9,-708.9486442237544,0.009640424114109316,-402.0426120249145,0.23073559112463893,-128.10540629595997,0.4281957828489341,177.48549803403262,0.10275854302748003
