gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-694.0101021582221,0.015469529047326836,-429.9620482786832,0.3814000963037682,-67.55989145949644,0.810291817858148,188.8320789238841,0.20928648377879358
1,1,-682.8900225961092,0.15451026680756882,-273.5733704506194,0.5606519355865515,-67.55989145949644,0.810291817858148,159.4463376214205,0.17777818118332797
2,2,-482.21858627529565,0.27412224634912724,-155.1711130700222,0.6968221350778523,-67.55989145949644,0.810291817858148,73.90189460735299,0.10104037941012031
3,3,-293.55734463606075,0.5142281440037276,-122.15256354968808,0.7446870764858942,-51.32972104880381,0.810291817858148,32.8553401424749,0.04963742309897585
4,4,-158.92919291906907,0.6859779213356042,-110.43721149805452,0.7767992778331064,-67.55989145949644,0.810291817858148,14.41806627600914,0.03142018948580869
5,5,-112.23777357659277,0.750386082436063,-108.45437375923325,0.7971954330148323,-67.55989145949644,0.810291817858148,11.347627697788106,0.021870966162989048
6,6,-112.23777357659277,0.7640963406469421,-110.79200102086084,0.832562600032545,-67.55989145949644,1.0,5.207422391405663,0.06499256563662098
7,7,-111.3813160495604,0.810291817858148,-111.38131604956038,0.875334623163926,-111.3813160495604,1.0,1.4210854715202004e-14,0.0900476864440181
8,8,-111.3813160495604,0.810291817858148,-111.38131604956038,0.934957194694222,-111.3813160495604,1.0,1.4210854715202004e-14,0.0900476864440181
9,9,-111.3813160495604,0.810291817858148,-111.38131604956038,0.9864494155612964,-111.3813160495604,1.0,1.4210854715202004e-14,0.04885732700625066
10,10,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
11,11,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
12,12,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
13,13,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
14,14,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
15,15,-111.3813160495604,0.3778932421928118,-111.38131604956038,0.9911127606027544,-111.3813160495604,1.0,1.4210854715202004e-14,0.07382295485262552
16,16,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
17,17,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
18,18,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
19,19,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
20,20,-111.3813160495604,0.29430355293715393,-111.38131604956038,0.9899186221848164,-111.3813160495604,1.0,1.4210854715202004e-14,0.08374221353069629
21,21,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
22,22,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
23,23,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
24,24,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
25,25,-111.3813160495604,0.15083605356736662,-107.45665913455476,0.9878690864795338,25.98167597563591,1.0,22.88448567516966,0.10076693572809997
26,26,-111.3813160495604,0.2180254344272101,-109.41898759205758,0.9888289347775315,25.98167597563591,1.0,16.300324391976016,0.09279383695117045
27,27,-111.3813160495604,1.0,-107.45665913455476,1.0,25.98167597563591,1.0,22.884485675169667,0.0
28,28,-111.3813160495604,0.19727757115328518,-111.38131604956038,0.9885325367307611,-111.3813160495604,1.0,1.4210854715202004e-14,0.09525590403939539
29,29,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
30,30,-111.3813160495604,0.0,-111.38131604956038,0.9857142857142858,-111.3813160495604,1.0,1.4210854715202004e-14,0.11866605518454393
31,31,-111.3813160495604,0.0,-111.38131604956038,0.9857142857142858,-111.3813160495604,1.0,1.4210854715202004e-14,0.11866605518454393
32,32,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
33,33,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
34,34,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
35,35,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
36,36,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
37,37,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
38,38,-111.3813160495604,0.0,-111.38131604956038,0.9857142857142858,-111.3813160495604,1.0,1.4210854715202004e-14,0.11866605518454393
39,39,-111.3813160495604,0.11381925726921086,-111.38131604956038,0.9873402751038459,-111.3813160495604,1.0,1.4210854715202004e-14,0.10515957292037195
40,40,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
41,41,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
42,42,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
43,43,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
44,44,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
45,45,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
46,46,-111.3813160495604,1.0,-111.38131604956038,1.0,-111.3813160495604,1.0,1.4210854715202004e-14,0.0
