gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-800.3832731939942,0.051467193837171334,-475.1613190659655,0.43127918688775446,-58.91989479872194,0.9105329008257808,210.787247327009,0.24142461882801397
1,1,-706.9424427486147,0.22803093075679828,-338.5213725140454,0.5861335708579739,-58.91989479872194,0.9181074885054578,177.5089993737604,0.20522417041964647
2,2,-584.476948856337,0.26721483526960954,-179.97084359149596,0.7483165894075348,-58.91989479872194,0.9137245120237439,114.86190458805629,0.1508292509770594
3,3,-241.75653753550185,0.6317475381832981,-118.8974761974519,0.8141958727596685,-58.91989479872194,0.9144351358758365,45.98387340957456,0.0702814119525867
4,4,-136.87900215761067,0.6275275319028761,-91.16134102159278,0.7878654799667177,-58.91989479872194,0.9549445457195429,32.40313596725566,0.1342312420071728
5,5,-244.12486319805927,-1.0473381848501622,-72.1422921319923,0.786678884060383,-58.91989479872194,0.9483898753965188,30.872576803763266,0.3312031906242105
6,6,-135.20255870748267,0.6658230119211467,-60.80693565466856,0.9153590836977431,-58.91989479872194,0.9342879673041447,9.55945648412103,0.045309417395831136
7,7,-59.41604352711656,0.8988793880007875,-59.41604352711658,0.8988793880007876,-59.41604352711656,0.8988793880007875,2.1316282072803006e-14,1.1102230246251565e-16
8,8,-713.138154981519,0.0,-137.9422305000203,0.0,-59.41604352711656,0.0,188.41557833469778,0.0
9,9,-448.51867350488936,0.32006633208443763,-68.0230348745344,0.8369724667125102,-59.41604352711656,0.8494106664112288,49.132792548047725,0.06841352942609556
10,10,-166.10942569785345,0.6491605263146081,-61.13904501553586,0.9952088901448004,-59.41604352711656,1.015461783821405,12.74437778660378,0.041699703955725635
11,11,-59.41604352711656,0.9401241667543927,-59.41604352711658,0.9401241667543926,-59.41604352711656,0.9401241667543927,2.1316282072803006e-14,1.1102230246251565e-16
12,12,-608.9748739855391,0.0,-115.96165088486416,0.0,-59.41604352711656,0.0,141.45374315162465,0.0
13,13,-468.45075380277405,0.3787106530985853,-65.25939653105456,0.842038142190851,-59.41604352711656,0.8487530333371156,48.5385355019651,0.05577807503245982
14,14,-706.9424427486147,0.6922137279317137,-115.7328830120688,0.7547146074247465,-59.41604352711656,1.414478542731322,179.96043968566997,0.19721030039295445
15,15,-143.01771715675645,0.6456821697834093,-60.610353150397145,0.6788745921900112,-59.41604352711656,0.6793556417901068,9.920680816455077,0.003995898087401954
16,16,-59.41604352711656,0.6667363986135462,-59.41604352711658,0.6667363986135459,-59.41604352711656,0.6667363986135462,2.1316282072803006e-14,2.220446049250313e-16
17,17,-401.64015435791595,0.0,-71.80947147458426,0.0,-59.41604352711656,0.0,53.30600242637572,0.0
18,18,-248.29729208944602,0.41147485317616644,-62.11434707800702,0.9293306115564534,-59.41604352711656,0.9368357674750083,22.413792665222957,0.06234250724798882
19,19,-280.1351837174315,1.0,-65.72230467541132,1.0125977439394955,-59.41604352711656,1.4409210378823427,36.77150539203836,0.07345683889477722
20,20,-59.41604352711656,0.618560350911875,-59.41604352711658,0.6185603509118752,-59.41604352711656,0.618560350911875,2.1316282072803006e-14,2.220446049250313e-16
21,21,-706.9424427486147,0.0,-127.58439964620008,0.0,-59.41604352711656,0.0,158.83506033922365,0.0
22,22,-295.47814745604995,0.51910117430945,-64.6286270074281,0.7005274238088739,-59.41604352711656,0.7053882731121045,29.224826137191076,0.0276547938134148
23,23,-59.41604352711656,0.8811453898248696,-59.41604352711658,0.8811453898248698,-59.41604352711656,0.8811453898248696,2.1316282072803006e-14,2.220446049250313e-16
24,24,-706.9424427486147,0.0,-107.87999681647932,0.0,-59.41604352711656,0.0,149.87495157185162,0.0
25,25,-706.9424427486147,0.43679439135586795,-74.3263546537439,0.7065474749486267,-59.41604352711656,0.7155913446356152,85.248541321074,0.04392849262446511
26,26,-136.80427188538337,0.6543157172161221,-60.52158964652039,0.6645954950175037,-59.41604352711656,0.6647444773044802,9.183355776996175,0.0012375398201514625
27,27,-171.96214298731851,-1.459816391977347,-61.0238449479766,0.5138723141286224,-59.41604352711656,0.5424764982750858,13.355401649349497,0.2376041986103151
28,28,-126.54871470493781,0.8579994514755238,-60.37508168679973,0.9979714207353646,-59.41604352711656,1.0,7.966369262673178,0.016850644927441
29,29,-356.3155394073071,-2.521237204167426,-63.65746489683361,0.47902822718257687,-59.41604352711656,0.5225103348833017,35.23189196238196,0.36118951343681327
30,30,-59.41604352711656,1.0,-59.41604352711658,1.0,-59.41604352711656,1.0,2.1316282072803006e-14,0.0
31,31,-611.3984601763833,0.0,-84.14641271749198,0.0,-59.41604352711656,0.0,101.17436347027773,0.0
32,32,-167.20327485093233,0.8512754073559174,-67.60411980878843,0.8556458526717327,-59.41604352711656,0.9254893941969554,26.981941225746798,0.01581069092456686
33,33,-142.68392544231014,0.48475555972733403,-67.74283171863595,0.4988316267906858,-59.41604352711656,0.6255162303608535,24.980364574558074,0.04222820119005583
34,34,-142.68392544231014,0.4757510738393976,-77.25916108037237,0.48614347076537,-59.41604352711656,0.5242489261606025,34.16696886474004,0.019899925062979378
35,35,-142.68392544231014,0.4669138490885005,-96.89952891365758,0.49232010696551487,-59.41604352711656,0.5330861509114995,40.879048691749105,0.030819077423112386
36,36,-158.0566565751744,0.45824077854679435,-116.76633698790951,0.6344734653883999,-51.912305321127995,2.2639096722844014,37.56423258605503,0.3753122971523112
37,37,-142.68392544231014,0.19134854869661777,-92.30531967257541,0.3694056989774493,-35.30463906060609,0.5943526751653256,38.58974529616498,0.15792229781595113
38,38,-142.68392544231014,0.3277957907910744,-85.6639308869041,0.6169347237490562,-41.49078365529039,0.7715934791864532,30.698887562397115,0.15462683100900307
39,39,-137.04268958065208,0.37630510101625125,-84.74748039302808,0.7338934500229299,-41.49078365529039,0.7886135640494903,18.169620396846373,0.10562975090245719
40,40,-90.87219825608894,0.34537676415599977,-89.07470370014767,0.755439724698501,-59.41604352711656,0.7802920253374406,7.301457402295505,0.10095052241715154
41,41,-90.87219825608894,0.4172329768737099,-90.42282461710363,0.5804022510369671,-59.41604352711656,0.58276702312629,3.7327777929617887,0.019643272267529523
42,42,-90.87219825608894,0.5905172559536438,-90.87219825608895,0.5905172559536437,-90.87219825608894,0.5905172559536438,1.4210854715202004e-14,1.1102230246251565e-16
43,43,-428.62255052972506,0.0,-105.14535943924264,0.0,-90.87219825608894,0.0,50.882527631635874,0.0
44,44,-211.9375435928268,0.5035368754527427,-92.93048725077468,0.986624127689565,-90.87219825608894,1.0,14.58470039334208,0.07814070319210682
