gen,gen,min,avg,max,std
0,0,-616.4130445537966,-376.9338366166923,-125.80270575087894,145.31736551322783
1,1,-490.6938661765007,-212.80822746336932,-99.17186266400853,110.56765009851382
2,2,-268.99007059369706,-148.84411332366565,-101.85925294586794,41.55119848970321
3,3,-228.75592442426696,-123.77393038060158,-62.13317248769485,21.942699894755638
4,4,-508.93430820547104,-116.8574296902171,97.46963722629106,64.50288364192272
5,5,-403.59170465038505,-108.92468879791079,97.46963722629106,70.40786991844851
6,6,-125.80270575087894,-92.89478768786859,97.46963722629106,40.08433320381311
7,7,-180.24252843991835,-88.50512912723512,97.46963722629106,40.29034524397028
8,8,-101.85925294586794,-71.61782302240546,97.46963722629106,56.453709077390236
9,9,-89.10471272728957,-59.311471443393685,97.46963722629106,68.26536416500491
10,10,-89.10471272728957,-48.08768309184033,97.46963722629106,77.23276632206975
11,11,-89.10471272728957,0.333665833075101,97.46963722629106,93.09118578980204
12,12,-89.10471272728957,74.87542375149182,97.46963722629106,60.55576865606377
13,13,97.46963722629106,97.46963722629103,97.46963722629106,2.842170943040401e-14
14,14,97.46963722629106,97.46963722629103,97.46963722629106,2.842170943040401e-14
15,15,97.46963722629106,97.46963722629103,97.46963722629106,2.842170943040401e-14
16,16,97.46963722629106,97.46963722629103,97.46963722629106,2.842170943040401e-14
17,17,97.46963722629106,97.46963722629103,97.46963722629106,2.842170943040401e-14
18,18,97.46963722629106,97.46963722629103,97.46963722629106,2.842170943040401e-14
19,19,97.46963722629106,97.46963722629103,97.46963722629106,2.842170943040401e-14
20,20,97.46963722629106,97.46963722629103,97.46963722629106,2.842170943040401e-14
