gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-682.8900225961092,1.5949349975904539,-438.3169467547242,2.5312081868309435,-103.09074428471963,7.494026128448221,163.5735146706971,1.8123404944412003
1,1,-845.1243617552167,1.667602453501588,-365.47797297806903,2.6883113464115325,12.563041303179446,7.425898413045287,227.76161373075854,2.0131336489323086
2,2,-697.2324101427477,0.8925851174108871,-409.7526488833211,1.536696718561937,-53.824760549654876,7.874338789715578,191.33554929882115,1.7067483270580208
3,3,-880.9303242173506,2.0817876296308464,-442.1648080016068,3.0765931296565148,-68.50179404891462,6.972257217528939,200.69014997897884,1.6843204343538967
4,4,-682.8900225961092,2.2991276165691055,-448.47126805040443,3.371523950387247,0.05402397182063604,6.728668006752786,181.36960384112703,1.735392148171023
5,5,-812.4023003097336,1.8253838307896912,-466.0015415872408,2.7933934080624576,-66.08170803910691,7.236458702504874,180.51923392082531,1.6918700148484738
6,6,-797.2322462490055,1.8114230883527824,-433.31496478709386,2.802013199044675,2.1869329459245157,7.206685496236091,198.68571480203968,1.8327171371655429
7,7,-682.8900225961092,1.8829823552376141,-430.1479073663506,2.919718952224142,-96.89705847307484,7.170760792902544,178.99869464735573,1.8508116387633877
8,8,-717.0598104922884,2.086451651002342,-406.7575780699702,3.1555115059688132,-18.105531728932544,6.993952087603082,201.37675040532147,1.8094929626383465
9,9,-682.8900225961092,1.4623051718890796,-415.3649819396584,2.3747163828235576,-100.02156171882497,7.620937818524477,179.5857087253699,1.955953207577031
10,10,-682.8900225961092,1.206034262469921,-368.4500529352345,1.9539208288130916,-110.37893648286229,7.8492340108062875,168.51218294805173,1.691278061936467
11,11,-739.3046470762357,1.358009186183931,-424.60484843046663,2.1771828596376714,-112.52782674192345,7.693980953224641,167.2305361736701,1.7641809293310275
12,12,-737.2934758757547,1.8617780797447872,-401.9668765648727,2.77807438180294,-55.89547465044935,7.151200436385747,195.80885259201082,1.5751730046390318
13,13,-683.3654763156152,2.074720942754683,-424.13767201931444,3.0408332384011096,42.42754146148385,6.948849885551016,215.24583048730338,1.6119661153443101
14,14,-682.8900225961092,2.2898028403667867,-429.0540213847133,3.2618607445378855,60.170413391589584,6.719510309819114,189.16977271767985,1.565829895551048
15,15,-682.8900225961092,2.2935375931946673,-448.99107941147594,3.38900343996303,-132.04166026382288,6.765335679381809,179.80733557836132,1.7418766024983117
16,16,-682.8900225961092,2.882652450107527,-465.0271328717332,3.9017961847203075,-97.43412705100833,6.127238729699745,191.22296666088886,1.4191663635302065
17,17,-695.2333366151024,2.0192674134507214,-430.86329802675937,3.04467711057733,-3.878175044877393,7.061809359774284,197.39076835709614,1.7386336282348913
18,18,-905.7956849701965,1.828525981952413,-443.96295380753907,2.835497794319165,3.4461629615915874,7.232496734826358,214.749778157515,1.8407199794520428
19,19,-682.8900225961092,2.32548610227066,-468.1672085551628,3.322364975816798,-43.91084047574369,6.6915127029359835,182.38909469003272,1.5789908144249483
