gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-821.4625505925789,1.3709309565965975,-419.60461290761367,2.2439935174277874,-72.60932862421309,7.730325810321256,192.78633011641344,1.8719754145849783
1,1,-682.8900225961092,2.407201342918355,-415.6992680102463,3.478904824418194,-33.90955037174533,6.6156981697703205,219.60954702957085,1.7043856003088098
2,2,-816.8077459187585,1.884087777180809,-394.14776324230127,2.8568290224328665,-42.140280576814185,7.150627965087423,208.0890688298141,1.7434643114135744
3,3,-737.8476724753701,2.083162649010802,-441.62383338444533,3.0987187404619334,-26.03533004193797,6.973671629325797,196.2138867581856,1.7052927962767817
4,4,-694.2829904505483,4.003556966322497,-504.87646154284596,4.43912838145893,-85.29423360502699,4.82681614610761,203.93825575033352,0.3084717351756915
5,5,-685.2450720650359,2.1141643354985957,-392.512894998746,3.1702955054181414,-27.463661443123215,6.9248550376130025,210.96258080506806,1.7903902442049586
6,6,-764.9742003518755,2.1468196632201177,-400.4416912415692,3.1540041318872403,12.295753096395316,6.889469089618697,229.5649613308649,1.694212301535896
7,7,-682.8900225961092,1.6802003435346038,-399.0689174607269,2.648943455303237,-54.25622954638618,7.354621157476828,184.13800061363455,1.8623811243282085
8,8,-682.8900225961092,2.3539182705167976,-422.9033006219911,3.2761341835580327,-141.1057466844552,6.723823261600525,191.4742260646819,1.4612423950350708
9,9,-866.0534308801607,2.1527289127776723,-423.21238229410767,3.142901269728801,-86.9790865012039,6.879651753262178,224.61244492046714,1.692399176415711
10,10,-733.5730153256158,1.6624811958137315,-406.78128166697536,2.5284597253276075,-83.57408183083639,7.365351114071435,187.88314074560714,1.7067321818512011
11,11,-682.8900225961092,1.7501538671701184,-442.61165410018486,2.6718057020935904,-140.3333149797668,7.271744258321808,163.7369873782302,1.647993764322283
12,12,-682.8900225961092,1.9731260491735525,-425.8387104154073,2.999784655106637,-135.79827081494093,7.085938132517936,162.96985920284797,1.7651759089051244
13,13,-706.1712557892232,1.5413171436247548,-444.5233028462493,2.456871084541433,-62.670197633986994,7.503582676354779,186.32204944359583,1.8223647826292175
14,14,-705.0842022754754,2.254839207789988,-451.359569867175,3.3365079375086872,-92.88150946500969,6.775089122531691,190.9056298827523,1.7416513532100497
15,15,-728.0884198309703,1.5612765842157217,-442.9592884150299,2.4863988596850475,-41.31294268287345,7.463404389342573,201.06073855018545,1.8887154344213861
16,16,-694.8677570208907,1.309737498160594,-386.7721661805243,2.1206542080741824,-17.352989926557907,7.747770823785113,193.64993868367316,1.7293263066549216
17,17,-682.8900225961092,1.479493272714357,-432.3400833718979,2.441535831178397,-126.75003351778253,7.606307008660491,171.25032029183976,2.0186726857630157
18,18,-705.6921614794373,2.0973398589433865,-453.36522263742756,3.0731873924652584,-90.74047196503436,7.034810970550607,183.28725762284552,1.6881196033087125
19,19,-682.8900225961092,2.4023810342022753,-474.4914440934364,3.420217184096123,-136.8852838007932,6.717325584972042,186.67808040722,1.588573233849297
