gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-731.9764218171364,0.997634356713404,-432.7700295621271,1.5751802060555278,-100.18111350477385,7.932093613075705,174.68886801928994,1.1833107992247958
1,1,-731.9764218171364,1.0082627062087663,-502.18289843818076,2.5827348527280987,-37.940566730298166,7.932093613075705,164.20836676752293,1.7757929636332224
2,2,-684.4075293875061,1.0610085611804634,-530.4196247836404,3.7878789875531873,-37.940566730298166,7.932093613075705,145.15003733566022,2.0315529089816766
3,3,-684.4075293875061,2.044680036560077,-576.934707877487,4.806683586931271,-484.7094808818533,7.932093613075705,70.7722779963923,1.9876015896200263
4,4,-679.1096316506754,1.4599206745615232,-580.185749404748,5.968683874017116,-127.32288728042356,7.932093613075705,91.72158047333369,1.9731154030341578
5,5,-661.813221809952,3.381103360934246,-615.2837978459539,7.0957229564064965,-374.0606007490294,7.932093613075705,72.12540519144855,1.2715981987583425
6,6,-661.813221809952,6.80475856868298,-649.7694117571242,7.824748102183873,-489.30590145344104,7.932093613075705,37.96103828892667,0.3224724667530022
7,7,-661.813221809952,6.80475856868298,-655.7913167835379,7.8784208576297905,-489.30590145344104,7.932093613075705,27.509699273780253,0.2342541580933841
8,8,-661.813221809952,7.932093613075705,-661.8132218099516,7.932093613075707,-661.813221809952,7.932093613075705,3.410605131648481e-13,1.7763568394002505e-15
9,9,-661.813221809952,7.932093613075705,-653.40110752591,7.940082864992854,-157.086364767452,8.411448728104544,64.61467586345142,0.06136660839204722
10,10,-661.813221809952,0.0,-636.5768789578267,7.82385980860922,-157.086364767452,8.411448728104544,110.00266819695788,1.023918776724599
11,11,-661.813221809952,7.932093613075705,-636.5768789578267,7.956061368827148,-157.086364767452,8.411448728104544,110.00266819695788,0.1044730252240012
12,12,-661.813221809952,7.932093613075705,-544.0436218333687,8.043943139915768,-157.086364767452,8.411448728104544,213.47552874437136,0.2027444848818174
13,13,-661.813221809952,2.8509771427871446,-434.68613614082705,8.063118140333874,-157.086364767452,8.411448728104544,251.09844096379814,0.7187001552601812
14,14,-661.813221809952,2.5507426732329472,-305.89506852058787,8.17795301126518,-157.086364767452,8.411448728104544,228.15615663489902,0.7635764862566397
15,15,-661.813221809952,1.2529554946057315,-199.42928240110209,8.252194247960492,-157.086364767452,8.411448728104544,139.4308448932946,0.9207896306867343
16,16,-661.813221809952,0.4928959671481468,-182.32270761957705,8.123529213654555,-157.086364767452,8.411448728104544,110.00266819695786,1.4208122138818242
17,17,-523.5484105674165,0.5127234421879987,-163.19406553078477,8.196762676728035,-157.086364767452,8.411448728104544,46.91413974752714,1.1863750215169764
18,18,-157.086364767452,0.21058891913036348,-157.086364767452,8.001405737655835,-157.086364767452,8.411448728104544,0.0,1.787335957873136
19,19,-157.086364767452,0.013301630425761412,-157.086364767452,8.13479861299366,-157.086364767452,8.411448728104544,0.0,1.4899153169964992
20,20,-157.086364767452,8.411448728104544,-157.086364767452,8.411448728104542,-157.086364767452,8.411448728104544,0.0,1.7763568394002505e-15
