gen,gen,min,avg,max,std
0,0,8.666666666666666,40.733333333333334,106.66666666666667,27.99912697051662
1,1,11.333333333333334,88.25,394.0,104.60719515299976
2,2,31.333333333333332,185.55,500.0,174.91814831832377
3,3,52.666666666666664,259.1,500.0,179.58517323110067
4,4,52.666666666666664,337.01666666666665,500.0,182.44681036157115
5,5,87.66666666666667,264.8833333333333,500.0,183.97500660566791
6,6,87.66666666666667,379.5833333333333,500.0,183.96783761782325
7,7,99.0,419.8,500.0,160.4
8,8,196.0,484.8,500.0,66.25526394181823
9,9,500.0,500.0,500.0,0.0
10,10,500.0,500.0,500.0,0.0
11,11,500.0,500.0,500.0,0.0
12,12,500.0,500.0,500.0,0.0
13,13,500.0,500.0,500.0,0.0
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
16,16,500.0,500.0,500.0,0.0
17,17,500.0,500.0,500.0,0.0
18,18,500.0,500.0,500.0,0.0
19,19,500.0,500.0,500.0,0.0
