gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,9.0,0.0,44.800000000000004,0.3183086948773607,157.33333333333334,0.9812225159641439,57.436573713967306,0.406447914053821
1,1,9.333333333333334,0.07903101995463471,93.93333333333334,0.42142044060263933,230.0,0.9953998890606608,74.86770554340058,0.3584113780998507
2,2,9.0,0.0,68.6,0.3638554267854488,246.0,0.71424744348522,89.7223866527561,0.31823329700560943
3,3,9.333333333333334,0.12499961569897673,132.4,0.36129804680475164,491.3333333333333,0.7304026215296671,182.86891479964547,0.24054653261748127
4,4,9.333333333333334,0.02654130207364618,138.66666666666669,0.2680468937243496,500.0,0.792318060045198,182.24391469797956,0.2953845909081167
5,5,9.333333333333334,0.1807165271473213,120.8,0.6013150419606588,500.0,0.8192834728526787,189.87125462621597,0.21855575490323245
6,6,9.333333333333334,0.14795817836496392,125.93333333333335,0.6208440421152377,500.0,0.8520418216350361,188.394668478466,0.2515847009896257
7,7,9.333333333333334,0.007900298530225646,123.6666666666667,0.26138562375211294,500.0,0.8833060071264587,188.52173467386842,0.33622395756973444
8,8,9.0,0.0,24.866666666666667,0.2806983810518403,69.66666666666667,1.0,23.48578766450515,0.3920226133852775
9,9,9.333333333333334,0.0034201579730991794,113.53333333333333,0.25628956628143706,500.0,0.9187988300580323,193.38362564257264,0.3496441652646811
10,10,9.0,0.0,26.0,0.3701825959390016,69.66666666666667,1.0,23.713099989480735,0.45568755578130593
11,11,9.0,0.0,15.8,0.2002177230878946,42.333333333333336,1.0,13.267504161170129,0.39989121254393256
12,12,9.0,0.0,14.0,0.20037136789107163,33.0,1.0,9.500877152487904,0.3998143879180834
13,13,9.0,0.0,17.6,0.20017374303607208,51.0,1.0,16.70049899454105,0.3999131442075886
14,14,9.0,0.0,17.466666666666665,0.2000955911712663,50.666666666666664,1.0,16.600669330548758,0.39995221869368536
15,15,9.333333333333334,0.0,17.533333333333335,0.20363773960520995,40.333333333333336,1.0,12.03993355463393,0.398243439061659
16,16,9.0,0.0,12.466666666666667,0.20016019169580962,25.666666666666668,1.0,6.601683287027804,0.39991994425602895
17,17,9.0,0.0009487721545375716,33.266666666666666,0.20587359239305592,61.666666666666664,0.9946044294914207,20.818154470450917,0.3944443218055733
18,18,9.0,0.0,107.4,0.20000546739841693,500.0,1.0,196.30004245202463,0.3999972663163606
19,19,9.0,0.0,9.733333333333334,0.0030220804166411416,11.666666666666666,0.010989383333240508,0.9752492558885191,0.004019020469406188
