gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-561.8085545014584,0.02263933105078928,-377.90219717823027,0.31983229160115795,-112.62683542730434,0.6110252193750573,146.54189385717658,0.18443595379161148
1,1,-583.2134933741312,0.04036601002783111,-359.9275382677221,0.2823382576150972,19.876442877132053,0.5904886454194453,155.17290223575247,0.1766267002398479
2,2,-817.2286591737958,0.018399426306242878,-384.25566656431556,0.341444761030824,-125.80270575087894,0.7187492537960006,151.12583068229924,0.1339316189029072
3,3,-582.7408535647595,0.0017415869780245973,-357.2888235780722,0.2611127777985932,-100.07240730707315,0.6366099738466013,136.6112835055646,0.12814518271534106
4,4,-574.2688442243488,0.03829614717418133,-381.50608537896153,0.259924424718105,-117.70361737231872,0.6982217667926376,144.72141523687495,0.15962625968786437
5,5,-578.3833797834263,0.04036360174673259,-378.2399064300225,0.24528786788914198,-116.76463210985975,0.7774145179736714,141.2439897360654,0.190407908531887
6,6,-610.7183529457784,0.02505485097412594,-355.9826597364351,0.2068028179374263,-10.57315775344136,0.7550435756221913,164.26692487032167,0.16065954712686503
7,7,-812.2875226902892,0.08561031002581707,-387.8050026190807,0.2268763689262842,-100.09486710362391,0.8845502795174947,159.42913360186074,0.1520234773819866
8,8,-618.661442515977,0.005442228383727035,-374.185807572988,0.2113966211588009,-127.97417881028635,0.8943414736965227,132.1425167257424,0.23092779393051427
9,9,-562.3886928495764,0.0371578602443816,-348.28736790181284,0.22400653548190652,-122.65759864037885,0.948007896750707,135.0805936914765,0.24279404639908952
10,10,-563.7905696919591,0.0076589500229055,-369.5862328813284,0.16745437952235834,-44.93654773525035,0.8879684463275938,153.10229163565708,0.20010176047680278
11,11,-651.122521573353,0.02547626984518384,-401.4769151323315,0.1596780572307909,-125.80270575087894,0.9189328560217388,127.77685762234047,0.2127018673143347
12,12,-561.8085545014584,0.01527745079341425,-314.3593232327395,0.1800523624087539,-116.97547105483875,0.9181947961029643,137.49409924712705,0.22664545997040025
13,13,-561.4889390659233,0.022846707435429783,-335.08619112702297,0.15054830867957952,-125.80270575087894,0.9142805002229126,138.41339166157863,0.1954435583478754
14,14,-637.6038742157165,0.008701308322523447,-318.3178098288312,0.14357917293154152,-82.76303646755555,0.9363418572767094,155.29944457587214,0.1973791140389665
15,15,-542.3463804380556,0.012199441899214502,-314.57312766092616,0.14148794367807177,-96.43071913365782,0.9386849949796434,150.00203396933236,0.2548559234349171
16,16,-561.8085545014584,0.010920581759300104,-358.5012405268496,0.19490556742875004,-125.80270575087894,0.9780618596171791,151.54613243239444,0.2564465257522521
17,17,-720.6699801461654,0.02648994382360407,-425.74449503203357,0.22927661393320248,-112.9550807710804,0.9840073118063319,143.7650390926123,0.2938351873037493
18,18,-731.54746350312,0.014699357192612133,-373.46680646950125,0.1359960563808203,-111.24197812474779,0.9803466267096892,160.83098231735923,0.21176093311976577
19,19,-561.8085545014584,0.00573582622945392,-384.2398337960964,0.14403000378468295,-47.96390393941007,0.9722236996642467,148.87773816935308,0.24262865926672164
