gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-620.0865624868019,0.004749104263313136,-367.68641772805057,0.3744374994561506,-49.436297927779286,0.8142866884369476,148.7427679348829,0.19696570603113595
1,1,-526.985296262072,0.20977029270458794,-263.5331484038109,0.5321841380847169,-49.436297927779286,0.8142866884369476,120.51896336472781,0.15693979825079865
2,2,-503.4352609683295,0.28001828384060534,-176.76001461240966,0.6478205946245273,-49.436297927779286,0.8142866884369476,73.5225501707572,0.08068011324256721
3,3,-251.3351099904155,0.554257850308401,-158.45159725200327,0.6986996136247133,-49.436297927779286,0.8142866884369476,58.55860013974391,0.0436587912637865
4,4,-300.80551293044283,0.6652015253065963,-164.18358142417478,0.7266691274851563,-49.436297927779286,0.8142866884369476,77.26261269850454,0.0445811851879826
5,5,-300.80551293044283,0.3505662538682976,-172.3266443061844,0.739934869452966,-49.436297927779286,0.8194394115000286,89.12518439812861,0.06311425370500945
6,6,-300.80551293044283,0.6931837859491281,-144.62572490430318,0.7839726568209234,-49.436297927779286,0.8194394115000286,107.58641416249606,0.0417752099134461
7,7,-300.80551293044283,0.7281397463277781,-138.2021055793373,0.8084752563938152,-49.436297927779286,0.8194394115000286,117.66942020693679,0.02206623741304042
8,8,-300.80551293044283,0.27045027396695787,-194.34325716460884,0.8108590062677828,-49.436297927779286,0.8194394115000286,124.20596506013965,0.059017480707225865
9,9,-300.80551293044283,0.8142866884369476,-282.0253200283073,0.8190934413758456,-49.436297927779286,0.8198166309557616,64.26784164203963,0.001327086171587806
10,10,-300.80551293044283,0.8194394115000286,-296.406126108953,0.8342938784321744,-278.7802362640599,1.0,8.798816248090619,0.049424869447380004
11,11,-300.80551293044283,0.8194394115000286,-289.6954357130643,0.8809721478094029,-278.7802362640599,1.0,10.980272369174065,0.08537626094950834
12,12,-300.80551293044283,0.8194394115000286,-281.93881418970125,0.948629918079866,-278.7802362640599,1.0,7.649692173740174,0.08093867958642191
13,13,-300.80551293044283,0.8194394115000286,-279.32493112297976,0.9975270433550968,-278.7802362640599,1.0,3.3349625469925623,0.01956579259605194
14,14,-278.9408440980184,0.9994020826474355,-278.78590477584686,0.9999788970346154,-278.7802362640599,1.0,0.0296357111263475,0.00011032902630774244
15,15,-278.7802362640599,1.0,-278.7802362640601,1.0,-278.7802362640599,1.0,1.7053025658242404e-13,0.0
16,16,-278.7802362640599,1.0,-278.7802362640601,1.0,-278.7802362640599,1.0,1.7053025658242404e-13,0.0
17,17,-278.7802362640599,1.0,-278.7802362640601,1.0,-278.7802362640599,1.0,1.7053025658242404e-13,0.0
18,18,-278.7802362640599,1.0,-278.7802362640601,1.0,-278.7802362640599,1.0,1.7053025658242404e-13,0.0
19,19,-278.7802362640599,1.0,-276.9805006109638,1.0,-125.80270575087894,1.0,16.494849722448677,0.0
20,20,-278.7802362640599,1.0,-276.9805006109638,1.0,-125.80270575087894,1.0,16.494849722448674,0.0
