gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-621.8933023709584,1.566137621036716,-418.78605643657767,2.3598585083132164,-97.15376006536098,7.277160655380891,138.87582686936145,1.4487182082076635
1,1,-716.7743026675049,1.298817433836085,-423.87553187842207,1.990145811812662,-113.80365596178075,7.683505468338316,143.7129271379164,1.294415715462102
2,2,-712.5125967206098,1.2066933107898703,-454.91217213865457,1.7490255822705223,-90.0978129351502,4.536983571816905,157.88121951538858,0.8598747889171345
3,3,-732.9398095609789,1.007540790407752,-373.3375385384014,1.5863238518398455,-79.97093327986188,5.13189838969398,198.2730097729254,1.0562118433440142
4,4,-676.4209296217895,1.1985921200341267,-404.31975042611293,1.7953132798271239,-64.12531765024602,6.973443208129373,172.77826779255398,1.1432069932774702
5,5,-712.5125967206098,1.1755111107988205,-417.90512926593476,1.8347008786417587,-106.25272154742633,5.282270815349006,159.7195342074511,1.2062030997585118
6,6,-649.6890980681629,1.0284504317663632,-369.0466382521304,1.5823056067574204,-90.02263705323496,4.639395166194662,178.25703808746135,0.9695829022142997
7,7,-713.2813351543522,1.0210272283877737,-459.68671420533354,1.6654248192681371,-147.0418239187494,7.128432825697129,152.27440565944673,1.3731214361766069
8,8,-776.1639332454347,1.0902207878140693,-427.45291224911125,1.6260097623120722,-81.4291641831142,5.194634416252719,180.0081228806464,0.9535216334593951
9,9,-712.5125967206098,1.1577476377047813,-412.4557775802179,1.7566969062683762,-65.23188041186584,7.705231614401475,184.52865851775766,1.2098100781770997
10,10,-764.7231676442616,0.648899080560926,-390.9974001569996,1.0577080900000877,-100.18111350477385,4.6191026589087185,188.32986287900874,0.8890023277954379
11,11,-768.3426759348013,0.6921264084801196,-422.55891761934834,1.124485657947565,-90.0978129351502,4.565088049067844,178.75527774220998,0.9303358478472388
12,12,-712.5125967206098,0.28797606815155447,-404.2279231072479,0.474156937499456,-74.86823063392114,4.43666949655527,190.42316793990784,0.6571979144977407
13,13,-657.1279736265823,1.1182212729361771,-410.1334263643219,1.792440914416798,-65.0074243959058,6.955167013730238,184.85635467477195,1.3461175919379422
14,14,-712.5125967206098,0.740010896402611,-411.3634662060651,1.2404893507660504,-85.64698942824269,6.491741455561455,185.498347921979,1.2270584335820094
15,15,-813.3448799332796,0.8214798296565231,-398.7063777710705,1.3031838372621543,-48.03429390344571,4.398495984904305,199.7399615620567,0.9367097022006714
16,16,-605.271980660507,0.727922442066274,-420.45846645134304,1.1409006184965604,-120.2830790286384,3.3334966993114237,146.45821298980243,0.7541646367288426
17,17,-696.1683479214292,1.6524002582745319,-414.14816928175424,2.33303732965861,-107.68820845810806,7.173152256649044,160.05580591273255,1.136769850400205
18,18,-712.5125967206098,0.9056021848205476,-388.9504539994332,1.4307813345299705,-89.30759727899063,4.7632849803889625,160.50358122507515,0.9805251437899353
19,19,-790.8435624145183,1.1553839153953895,-382.66538151227996,1.721232841850113,-100.36790301806344,4.506024505858216,192.39547887068355,0.9194115169252035
