gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,8.0,0.0,20.453333333333333,0.2165975639008507,64.0,0.7197758816852751,17.285544378018425,0.21817592933042304
1,1,8.666666666666666,0.04911158228266436,85.02666666666666,1.0951571458128162,500.0,6.2945998048951575,131.05069146453724,1.6338233011344225
2,2,9.666666666666666,0.09316574808690935,143.25333333333333,0.3740771875124976,500.0,0.7146311726497858,187.55951422889154,0.18261199317840626
3,3,8.0,0.15468509280742215,208.43999999999997,0.46088112949312376,500.0,0.7586609560881469,211.5567004637554,0.22341936951318175
4,4,8.0,0.10272115250861956,321.9866666666666,0.5467449808942302,500.0,0.7285487745892121,213.2159985658779,0.2443567504693974
5,5,158.66666666666666,0.37916223656445824,442.56,0.69056900937083,500.0,0.7352509292246213,118.40820992556966,0.11039118334590274
6,6,500.0,0.7417876070724827,500.0,0.7417876070724827,500.0,0.7417876070724827,0.0,0.0
7,7,9.333333333333334,0.0,335.6533333333333,0.0,500.0,0.0,220.41013245513216,0.0
8,8,61.666666666666664,0.24094279638731841,429.8933333333334,0.7003279778871204,500.0,0.89982103660592,160.63459486258452,0.18070343869118896
9,9,8.666666666666666,0.15220589921221095,462.8133333333333,0.7439254689443121,500.0,0.8657022326205059,126.32867467223917,0.17388517746296828
10,10,500.0,0.7663597650785785,500.0,0.8202421170319295,500.0,0.8637419607358854,0.0,0.04575762558462776
11,11,8.0,0.22787163696749058,158.68,0.938970058354415,500.0,1.5759455322429783,181.47681774204048,0.42903906069005854
12,12,9.666666666666666,0.15277145841892795,294.96,0.5740189398993125,500.0,0.9520047548659041,204.45681576095993,0.3518040730908653
13,13,9.666666666666666,0.18370092994538828,330.4933333333333,0.5930128650625643,500.0,0.8578553696030916,198.79582199946873,0.28850718113413687
14,14,63.0,0.2542083029934866,433.28,0.7578791103593845,500.0,0.8453645275000855,136.0498496875318,0.16509240911356818
15,15,9.333333333333334,0.06251108444818004,433.77333333333337,0.6962376826109624,500.0,0.7956785725888725,154.99424276046156,0.2342207593054962
16,16,28.333333333333332,0.16916886169802195,453.12,0.7434708834269372,500.0,0.8144360387025688,133.00886787478998,0.17352852280578093
17,17,28.333333333333332,0.1460789099729102,464.05333333333334,0.7572493745405808,500.0,0.8129205572881796,122.06463424486772,0.16793319328434325
18,18,500.0,0.808711554513468,500.0,0.813534096217758,500.0,0.8144526755900036,0.0,0.002104729752570449
19,19,8.666666666666666,0.0,184.09333333333333,0.6810235147176195,500.0,1.597999986756299,224.10458907493268,0.5440347846647542
20,20,9.666666666666666,0.12005832189101154,204.00000000000003,0.4256195038728465,500.0,0.8956958885162318,206.5470191290862,0.2933449501677522
