gen,gen,min,avg,max,std
0,0,9.333333333333334,27.46666666666667,122.0,29.586107851114477
1,1,9.333333333333334,95.35,500.0,144.07415046889338
2,2,9.333333333333334,256.2833333333333,500.0,186.53942910578212
3,3,83.33333333333333,270.19999999999993,500.0,191.0884437461704
4,4,83.33333333333333,377.5333333333333,500.0,187.2183039484477
5,5,86.33333333333333,428.4333333333334,500.0,147.97567743082345
6,6,86.33333333333333,441.5166666666667,500.0,139.82602185891182
7,7,86.33333333333333,437.9500000000001,500.0,147.70854466369462
8,8,86.33333333333333,417.2666666666667,500.0,165.4666666666667
9,9,86.33333333333333,416.05,500.0,150.8175599487304
10,10,86.33333333333333,459.8166666666666,500.0,103.65232885843801
11,11,305.0,480.5,500.0,58.5
12,12,500.0,500.0,500.0,0.0
13,13,500.0,500.0,500.0,0.0
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
16,16,500.0,500.0,500.0,0.0
17,17,500.0,500.0,500.0,0.0
18,18,500.0,500.0,500.0,0.0
19,19,500.0,500.0,500.0,0.0
