gen,gen,min,avg,max,std
0,0,9.666666666666666,103.28333333333333,500.0,135.42973885623005
1,1,9.666666666666666,155.46666666666664,500.0,178.67112556625122
2,2,9.666666666666666,168.73333333333332,500.0,196.3633423585528
3,3,27.666666666666668,263.1666666666667,500.0,215.0028811176466
4,4,27.666666666666668,282.9,500.0,218.15048577632012
5,5,27.666666666666668,253.43333333333325,500.0,193.6795205143452
6,6,27.666666666666668,352.99999999999994,500.0,186.46605291282617
7,7,76.0,364.8833333333333,500.0,172.4418831245923
8,8,27.666666666666668,335.94999999999993,500.0,191.95784476459056
9,9,27.666666666666668,323.21666666666664,500.0,195.3571451640985
10,10,27.666666666666668,214.71666666666664,500.0,175.6350153332504
11,11,27.666666666666668,240.0833333333334,500.0,161.37798538421114
12,12,27.666666666666668,228.16666666666669,500.0,147.5317479956998
13,13,27.666666666666668,242.10000000000005,499.3333333333333,137.29817915762757
14,14,70.33333333333333,249.55,500.0,132.20847489224482
15,15,27.666666666666668,223.50000000000006,298.6666666666667,92.52624252370543
16,16,85.66666666666667,250.66666666666669,332.6666666666667,77.78881667694914
17,17,76.0,235.2166666666667,500.0,121.66101699211443
18,18,76.0,221.88333333333335,500.0,104.89345255490875
19,19,27.666666666666668,202.96666666666664,386.0,104.42482144266914
