gen,gen,min,avg,max,std
0,0,8.666666666666666,86.6,500.0,127.6592803201234
1,1,8.666666666666666,96.64444444444443,500.0,122.8461529065954
2,2,10.333333333333334,151.4222222222222,500.0,149.42891121256568
3,3,11.0,187.95555555555558,500.0,164.9879845980561
4,4,11.0,187.95555555555558,500.0,164.9879845980561
5,5,11.0,193.7777777777778,500.0,161.61759469061604
6,6,13.666666666666666,195.4888888888889,500.0,160.9654145813877
7,7,13.666666666666666,224.62222222222223,500.0,173.4148042151755
8,8,13.666666666666666,224.66666666666666,500.0,173.37251693861293
9,9,13.666666666666666,225.8222222222222,500.0,172.44863396972647
10,10,13.666666666666666,225.8222222222222,500.0,172.44863396972647
11,11,13.666666666666666,228.26666666666668,500.0,170.83872403418854
12,12,49.333333333333336,231.4888888888889,500.0,167.7286550604728
13,13,103.0,246.84444444444446,500.0,156.9778878821811
14,14,103.0,271.35555555555555,500.0,165.6490027098426
15,15,103.0,271.35555555555555,500.0,165.6490027098426
16,16,111.66666666666667,271.93333333333334,500.0,165.07489658176826
17,17,111.66666666666667,285.51111111111106,500.0,163.2368361962398
18,18,111.66666666666667,285.51111111111106,500.0,163.2368361962398
19,19,114.33333333333333,286.8888888888889,500.0,161.844995193351
