gen,gen,min,avg,max,std
0,0,-682.8900225961092,-372.290686883357,-50.96433442468295,204.60704605631764
1,1,-682.8900225961092,-286.74893346663714,-50.96433442468295,170.77429247179853
2,2,-682.8900225961092,-250.87978765765993,-50.96433442468295,161.4504768872647
3,3,-661.318345774925,-232.82930541230053,-43.50549674279449,155.29472343298008
4,4,-661.318345774925,-212.59912911688372,-43.50549674279449,153.57744290633656
5,5,-661.318345774925,-188.34604553264606,2.2230484679592357,141.25123988934942
6,6,-545.7822909238507,-167.2651194156209,21.038029389133825,122.98267340576702
7,7,-545.7822909238507,-161.53848979903515,21.038029389133825,117.4151265388197
8,8,-545.7822909238507,-149.14914745424807,21.038029389133825,106.06216362675521
9,9,-545.7822909238507,-142.81833284824077,24.718017875855043,103.92443265084512
10,10,-545.7822909238507,-127.23075227606714,24.718017875855043,95.86530974170566
11,11,-545.7822909238507,-122.19452233201784,24.718017875855043,98.98393366952651
12,12,-293.73258598365396,-109.5555224194998,24.718017875855043,71.46624258538994
13,13,-293.73258598365396,-102.05998874624316,24.718017875855043,73.44896347175802
14,14,-274.88202638350566,-97.18163390744638,24.718017875855043,68.6495794089024
15,15,-274.88202638350566,-95.39205357292465,24.718017875855043,67.56209605843382
16,16,-274.88202638350566,-94.82682624962149,24.718017875855043,67.5458738409978
17,17,-274.88202638350566,-83.70163080400307,24.718017875855043,60.17206401861969
18,18,-161.21455932705277,-80.01838524980731,24.718017875855043,53.51699949449172
19,19,-155.63293889395013,-77.53930009496378,24.718017875855043,53.299200154996676
