gen,gen,min,avg,max,std
0,0,-616.4130445537966,-376.9338366166923,-125.80270575087894,145.31736551322783
1,1,-490.6938661765007,-260.75511878708187,-125.80270575087894,121.83461617596107
2,2,-359.35416508273255,-169.75381603702624,-96.87767401770463,72.31592614146122
3,3,-276.6138496732567,-133.00856516293675,-96.87767401770463,33.2205507889588
4,4,-177.87704011832247,-117.75699523190683,-96.87767401770463,15.722866051832694
5,5,-141.09765858537727,-110.5710039504802,-96.87767401770463,13.08378986777761
6,6,-399.88831951537526,-106.48489704554594,-96.87767401770463,42.74371718893552
7,7,-96.87767401770463,-96.87767401770463,-96.87767401770463,0.0
8,8,-96.87767401770463,-96.87767401770463,-96.87767401770463,0.0
9,9,-96.87767401770463,-96.87767401770463,-96.87767401770463,0.0
10,10,-96.87767401770463,-89.12354801469242,-19.336413987582713,23.262378009036578
11,11,-96.87767401770463,-86.02189761348757,-19.336413987582713,26.90581163336095
12,12,-96.87767401770463,-67.17460231702975,-19.336413987582713,37.488013596612376
13,13,-96.87767401770463,-37.87819006694742,-19.336413987582713,32.99855570682729
14,14,-96.87767401770463,-20.887239188185152,-19.336413987582713,10.855776404217073
15,15,-19.336413987582713,-19.336413987582713,-19.336413987582713,0.0
16,16,-19.336413987582713,-19.336413987582713,-19.336413987582713,0.0
17,17,-19.336413987582713,-19.336413987582713,-19.336413987582713,0.0
18,18,-19.336413987582713,-19.336413987582713,-19.336413987582713,0.0
19,19,-19.336413987582713,-19.336413987582713,-19.336413987582713,0.0
20,20,-19.336413987582713,-19.336413987582713,-19.336413987582713,0.0
