gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-589.0043255974334,1.5609939297289794,-379.21424325107876,2.478440451792027,-63.41463492671935,7.19518614781228,147.82670490510105,1.6949298225121239
1,1,-598.4792135538372,1.304333553672254,-390.2277602835477,1.7835234791104428,-172.77611224912587,6.5371102252950655,117.84812412296239,1.0524646549575305
2,2,-664.1091594829944,1.3257296483052643,-390.24709271478235,2.00212877981073,-82.59102685419681,5.763900519522421,141.77878692969006,1.0895817954185976
3,3,-659.0032087507017,1.7849553282937116,-427.09049981319845,2.986809379499943,-126.58808562077657,6.993291207164533,128.79460046845816,1.8051963874043948
4,4,-588.1927687500807,2.3162556877633325,-386.6847044486544,2.920053271220651,-29.423294626555776,6.481215098643452,156.2042501644245,1.0890653300292827
5,5,-561.8085545014584,1.9506025931098714,-373.769517869205,3.025852870529213,-107.62985501322152,6.7366141569385025,138.16189663511983,1.6472564687851432
6,6,-490.6938661765007,1.099163519014903,-316.24843687639003,1.7732758773319375,-124.81700565167921,4.657884998141234,105.39126711488124,1.2075788007821433
7,7,-622.2936807740043,0.6939170897590922,-388.54190947329374,1.1583129783979955,-118.35864410656113,4.502214915210716,141.04962043877055,1.112351585753494
8,8,-526.985296262072,1.7936275792724328,-396.7565565157803,2.278831217237517,-108.6784230660337,3.2436514657884628,135.39482948746186,0.6379117221514754
9,9,-561.8085545014584,1.3422253812735998,-428.89720754844836,2.0771088767584316,-124.81700565167921,3.8162641539114364,145.78376563265823,1.0109806325202673
10,10,-526.985296262072,1.6413340375564822,-404.8977673158864,2.2840791391323165,-124.81700565167921,3.4024322490541468,138.67674648490214,0.7998149673406042
11,11,-526.985296262072,1.2077941215819827,-424.07873838894005,1.8966675616581432,-125.80270575087894,3.8618014863680283,142.94280621598557,1.1353407010292198
12,12,-561.8085523882846,1.5014564245364364,-400.26367451636025,2.2006295141231105,-124.81700565167921,3.667108050958606,173.68197744138809,0.9359000099562008
13,13,-558.4693097524553,1.428954696938379,-430.90180015361454,1.8814367103711827,-124.0884644794581,3.7422316478600446,159.56677324690327,0.8340429223732395
14,14,-558.4693097524553,0.98714146035913,-376.3457755144312,1.6672739256009663,-124.81700565167921,4.259825950557347,188.8291571743255,1.2965566794047174
15,15,-558.4693097524553,1.1082268747548751,-387.09052553663406,1.988045534260828,-124.81700565167921,4.070583211625783,190.07580857149492,1.310300823331104
16,16,-558.6099474297979,1.5012108894322087,-375.77717551360456,2.0136572461279787,-124.81700565167921,3.653911789021895,189.84390565884024,0.8643259243378452
17,17,-559.3988257091478,1.1814874700451894,-408.74228617569,1.6663643208633598,-124.81700565167921,3.980029260972521,172.85996177606143,0.9735346745402641
18,18,-558.6099474297979,0.8923555754646935,-413.87338002474894,1.6257527991560923,-124.81700565167921,4.318718250111349,173.46657577691113,1.3470950195836293
19,19,-558.6099474297979,1.1265820555820028,-376.08968998882204,1.7105345110388226,-124.81700565167921,4.078651889403951,189.09242874038304,1.1229183504855593
