gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-731.9764218171364,0.965721545447787,-420.8778664487167,1.5242280818539566,-95.38411315687426,7.960324878161709,181.25972818333622,1.157419529705188
1,1,-713.035000239889,0.7741282935682698,-442.56137746537337,1.8776755260569518,-95.38411315687426,7.960324878161709,166.83708160288722,1.3921470550965462
2,2,-735.9505781513332,1.0271340718829747,-469.0610853903376,2.6021059345247615,-108.1270556966175,5.773458157093192,172.09376189678156,1.2082112221295396
3,3,-712.7777563641616,1.0642649033534448,-426.4590864457337,3.3274271716135897,-100.21671022195657,7.06512389611146,171.9704328117899,1.5484330636565797
4,4,-683.2042568333021,1.5920223769308053,-469.3830596406735,3.9932093990866115,-175.73359896738404,7.06512389611146,141.5131108175398,1.3390759936270187
5,5,-683.2042568333021,1.6889259171595579,-481.4462593133267,4.172218467181166,-184.61268715964923,7.06512389611146,138.35130525726606,1.4531661799594955
6,6,-683.2042568333021,2.6245978699356933,-468.4208865984915,4.554088271207149,-153.167570565508,7.06512389611146,154.41348987124027,1.473266511024531
7,7,-683.2042568333021,2.3375968963738356,-460.3836768193926,4.868926461507343,-153.167570565508,7.06512389611146,159.57368250603167,1.5801519507275101
8,8,-683.2042568333021,2.5712640058301592,-500.992349256625,5.688520609565477,-100.18111350477385,7.06512389611146,129.1174148719396,1.3554946264469045
9,9,-773.9549948936311,4.057108535861045,-517.3796184053567,6.022446966175846,-153.167570565508,7.06512389611146,135.87413225635234,1.049176096068811
10,10,-683.2042568333021,4.120519268149326,-518.1980277268453,6.322332786478684,-153.167570565508,7.06512389611146,104.38650545489354,0.8793118711139811
11,11,-683.2042568333021,2.249766962415642,-501.74398808920256,6.311198208275101,-100.18111350477385,7.06512389611146,99.86077996732448,1.0798975048322108
12,12,-778.6734438021809,2.7623830044703555,-509.2115937352033,6.419678361591813,-184.61268715964923,7.06512389611146,81.75638034205636,1.059349118066816
13,13,-665.883883618431,4.120519268149326,-497.4422790399438,6.483717968893259,-184.61268715964923,7.06512389611146,70.11410969156717,0.8765074788810575
14,14,-665.883883618431,4.120519268149326,-509.67710061897645,6.41774505131539,-184.61268715964923,7.06512389611146,68.25764747812627,0.9912599076678288
15,15,-665.883883618431,4.120519268149326,-505.2723708127178,6.555755371256566,-184.61268715964923,7.06512389611146,60.98124071689844,0.951596008721972
16,16,-676.0652256401372,4.120519268149326,-510.3874083350022,6.512625241444289,-184.61268715964923,7.06512389611146,80.52907613415158,0.981007303042672
17,17,-712.5125967206098,2.5752781903807156,-500.933717281101,6.690421021028806,-153.167570565508,7.06512389611146,74.78029777482446,0.8687377523327608
18,18,-676.0652256401372,2.1623394686155097,-488.47010209866545,6.455769374238261,-100.18111350477385,7.06512389611146,82.66440655819378,1.2727964348957728
19,19,-676.0652256401372,3.2820510176233237,-499.8885691586912,6.483534476036909,-130.62184522745054,7.06512389611146,70.99669997080444,1.1007102260515422
20,20,-666.5788665184231,3.3073080510186847,-483.76452217616776,6.423833861455151,-130.62184522745054,7.06512389611146,97.26218160804272,1.0701357151418012
