gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-552.5972060015279,1.4153501664495334,-374.8851128867284,2.4488674348572066,-109.47735176650377,7.459533504191993,150.4325651864139,1.4709049175742286
1,1,-557.7948929484797,1.568405826500702,-343.91809723986836,2.4761027733801724,-124.81700565167921,6.196956055186511,154.8927489067978,1.3152475855849772
2,2,-723.7869937792258,0.8553682141009196,-350.1973232284344,1.3842188797392,-125.80270575087894,4.1158209354925885,194.0279842310201,1.0837302347455897
3,3,-520.1449224230487,0.49365083407186167,-420.99529669441733,0.9532337626952055,-147.69253519822902,4.733346687983186,101.03557336709112,0.843236602726764
4,4,-584.2120787092263,0.767254544297382,-386.0677090291641,1.5699118644196213,-115.30876240253872,8.02732727884113,126.4427047383374,1.7244826462179743
5,5,-602.0478668132349,0.6476738847901341,-266.56713964654983,0.9417136099408487,-41.5667831267497,4.878509537444075,167.4519171712194,0.9230370865155331
6,6,-524.6395461689852,0.4860647562844777,-325.15504888440734,0.7789521487726196,-129.86987646268554,4.176250898878227,115.14206309966362,0.660115451255086
7,7,-552.5972060015279,1.2858292470923345,-390.4991251573329,1.7471841629583127,-121.31432031427728,3.0160418964465765,115.8334139156582,0.7036897539137237
8,8,-708.7853817402432,1.3243694411499742,-322.80653723963997,1.9850915708038406,-125.80270575087894,5.833489268722144,179.46225951869155,1.2527497168637522
9,9,-565.059816823834,1.7210389192214741,-392.44537764599625,2.1832033623593934,-237.24133425526279,5.3014393322365105,71.83377377513646,0.8801144207486752
10,10,-507.1568127302259,0.11945581242793012,-276.6293618609159,0.17331307979370275,-125.74097108960218,0.2757603258203443,162.68102481178926,0.055890399328850246
11,11,-629.6947345386898,2.0993634927270843,-400.6913024604762,2.754564282118844,-268.7691642096747,6.810109418200249,104.16252078916119,1.3966801479998072
12,12,-573.5927082610283,0.9199509705160328,-308.705561517585,1.3188637738431372,-119.20352523193736,3.6382213164888575,186.9875085839233,0.715807628221522
13,13,-489.81424360100885,1.1048068733699545,-348.02883980698584,1.4929817776340306,-112.1082939415732,2.217991588074521,142.67151959161032,0.42321962784726785
14,14,-485.49981483090033,0.7089569805038801,-247.26631198176773,1.0334364944513816,-96.11307328512156,2.407707825689769,124.13211464272054,0.6443656633077053
15,15,-554.8372775956287,2.36977925145394,-371.4398188662415,3.0849714463732654,-132.1508931828878,4.702963055817341,146.92945516429728,0.9408792465833613
16,16,-526.985296262072,1.1498622021595162,-341.3432221044235,1.6662038727228625,-56.06887579674873,3.897360744012086,131.7575527225403,1.0460272211644834
17,17,-585.4257386209213,0.38128975067922066,-314.402592687581,0.6049811686933494,-151.17405769198646,1.431779605780266,172.0015161200505,0.39291535528724003
18,18,-442.7980113399189,0.5168304886453428,-350.95579769783507,0.7208024574141149,-175.77916821447616,2.419520294384104,77.10393137601274,0.38022345919362155
19,19,-568.118561103173,1.6877656465845452,-490.59827503599064,2.357201795112957,-225.34042359895344,4.053951885179944,90.84294740980643,0.9900327381822155
