gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-694.0101021582221,2.2085997977256615,-429.9620482786832,3.2300544364746586,-67.55989145949644,6.830461617545657,188.8320789238841,1.6542089441038565
1,1,-694.0101021582221,2.234005941811146,-536.8480833671708,4.452406140545314,-111.3813160495604,6.830461617545657,170.54608674883747,1.9542428230935909
2,2,-682.8900225961092,2.504329578547648,-625.1465437841996,5.870054074253546,-111.3813160495604,6.830461617545657,124.07430220939825,1.4927422661501673
3,3,-682.8900225961092,4.65972690721756,-656.2399319632134,6.648024446242925,-143.8755400562293,6.830461617545657,103.3916924259915,0.49847698193880097
4,4,-682.8900225961092,4.65972690721756,-676.6699451105893,6.799451121683829,-247.48459860970038,6.830461617545657,51.66784407042093,0.25759252492679885
5,5,-682.8900225961092,6.830461617545657,-682.8900225961095,6.834301308923671,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.01151907413403776
6,6,-682.8900225961092,6.830461617545657,-682.8900225961095,6.843626273698843,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.01822564115819437
7,7,-682.8900225961092,6.830461617545657,-682.8900225961095,6.856790929852028,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.017825028695385055
8,8,-682.8900225961092,6.830461617545657,-682.8900225961095,6.865567367287485,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.010748896738165531
9,9,-682.8900225961092,4.893261211221269,-682.8900225961095,6.840087185127431,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.23441458294615533
10,10,-682.8900225961092,6.048037738536411,-676.0750643766121,6.856583992660504,-205.84294723130247,6.868858531325783,56.609294570865444,0.09744409356153425
11,11,-682.8900225961092,6.868858531325783,-682.8900225961095,6.868858531325783,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.0
12,12,-682.8900225961092,5.340785417496002,-669.7624490407034,6.825199299502074,-223.42494815689892,6.868858531325783,76.54624989761572,0.2545748805299406
13,13,-682.8900225961092,6.868858531325783,-682.8900225961095,6.868858531325783,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.0
14,14,-682.8900225961092,6.868858531325783,-682.8900225961095,6.868858531325783,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.0
15,15,-682.8900225961092,6.868858531325783,-682.8900225961095,6.868858531325783,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.0
16,16,-682.8900225961092,4.798201135763541,-675.1878414547119,6.839277711389179,-143.73734269828734,6.868858531325783,63.97912166564968,0.245716744770073
17,17,-682.8900225961092,6.868858531325783,-682.8900225961095,6.868858531325783,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.0
18,18,-682.8900225961092,6.868858531325783,-682.8900225961095,6.868858531325783,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.0
19,19,-682.8900225961092,6.868858531325783,-682.8900225961095,6.868858531325783,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.0
20,20,-682.8900225961092,2.4755583518483073,-682.8900225961095,6.8060971001903905,-682.8900225961092,6.868858531325783,2.2737367544323206e-13,0.5213356015401407
