gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-616.4130445537966,0.00012470702027422818,-387.78636132878256,0.43070182076720986,-125.80270575087894,0.9001363880897932,142.87698404838468,0.25487047644674254
1,1,-555.7931301359073,0.24235741394702978,-277.1604262348331,0.5884572746933731,-125.247960611175,0.8434828223737566,129.56589939242457,0.2137177327700017
2,2,-555.7931301359073,0.22536282121744788,-187.0322755237264,0.6823361634158365,-112.27823956661707,0.8095645246990456,97.15284075963802,0.1530210549636415
3,3,-263.980082680418,0.479283483184425,-134.87800390166225,0.6895100970407887,-112.27823956661707,0.7262439327513146,25.31908120535793,0.04060288717041894
4,4,-548.3328015658745,0.592348298108937,-153.01740772123202,0.8094300623203573,-87.37298636221773,2.1780150525421864,110.71666149343736,0.3329156472299685
5,5,-127.52411238332009,0.5536750913267621,-113.19363285538465,0.5944911714574524,-87.37298636221773,0.6267205568694733,6.322212397455827,0.009744474697740965
6,6,-566.1032482185553,-2.9156907470241986,-127.34173880865427,0.6325277993931389,-87.37298636221773,1.3840974415389935,70.06010631787643,0.5181691138462843
7,7,-268.4690503451592,0.512260637458881,-124.94953332487243,0.5504733133093945,-26.99693779915643,0.7986015905293327,52.48784868843649,0.08813956282482126
8,8,-449.0842371537883,0.2607056258894232,-141.754634043758,0.38313302710839386,-26.99693779915643,0.5354517576980293,92.01910908134425,0.0692183903850105
9,9,-524.920452387691,0.029887789485806497,-176.7842361604673,0.4194714753053867,-26.99693779915643,0.5417592214532057,128.18436812502324,0.07707172374258296
10,10,-460.97004747604586,0.24380567999017833,-207.06172766551657,0.486122407026191,-26.99693779915643,0.8005068746138764,126.99747361842351,0.0898129405652531
11,11,-532.7663781316872,0.2531262257802593,-167.51713647912757,0.42093918976403605,-26.99693779915643,0.6055885067815456,153.30795212714236,0.08734883241734821
12,12,-532.7663781316872,0.30636134353364897,-191.33521885228478,0.4318254652936876,-26.99693779915643,0.6576388248854027,157.6548529353726,0.08740599915066435
13,13,-532.7663781316872,0.3551524072355592,-223.35521475036128,0.4730963226749857,-26.99693779915643,0.6700028579931577,205.8437182648479,0.10874853198803494
14,14,-532.7663781316872,0.20984358735977093,-296.40510879580034,0.4610107538806148,-26.99693779915643,0.6850560257999601,222.9105096802376,0.15989528136671607
15,15,-532.7663781316872,0.5818913241901943,-160.2650081071354,0.7412900553759689,-26.99693779915643,0.8102551287494824,203.64500307812028,0.03767151426863029
16,16,-532.7663781316872,0.2652408478768378,-225.79526170862766,0.4586701157189802,-26.99693779915643,0.7289252092790182,242.11417848671422,0.21243276174620582
17,17,-532.7663781316872,0.060886624512126,-340.85353992872757,0.5332698638571651,-26.99693779915643,0.7485121286007332,236.1740625156143,0.24707831975902336
18,18,-532.7663781316872,0.43089848209554443,-164.43626015815127,0.814419819591279,-26.99693779915643,1.769371184380469,195.90151495886587,0.22487923479404645
19,19,-532.7663781316872,0.15686998068875968,-245.2399800865072,0.3748678976145906,-26.99693779915643,0.8036222458677894,224.82315969021874,0.1793123034054775
20,20,-532.7663781316872,0.21300633505748973,-411.0987083922429,0.44315215880661063,-26.99693779915643,0.8178118177440116,194.90165573174764,0.1579650474936755
