gen,gen,min,avg,max,std
0,0,-555.7931301359073,-346.2504256391252,-125.80270575087894,132.8171150455539
1,1,-485.26737507296866,-342.08861346281293,-125.80270575087894,108.1296875278663
2,2,-451.9290271982145,-302.04812626178403,-101.33038752167685,100.15558201981308
3,3,-443.24381317789636,-222.6345755073058,-101.33038752167685,102.61465219397694
4,4,-288.8603602832918,-154.65236487859798,-101.33038752167685,61.94735529618736
5,5,-285.0532478820191,-133.27479711421395,-63.09743482552756,52.961779127991385
6,6,-283.0029792446578,-117.84203508086469,-63.09743482552756,35.55154964874229
7,7,-137.16746750307996,-113.61944049690625,-52.887788334577806,19.521098242700166
8,8,-134.967922946061,-110.99739489951807,-63.09743482552756,19.919301623320113
9,9,-134.967922946061,-109.12997081073307,-63.09743482552756,19.510339675019715
10,10,-134.967922946061,-101.41892758693263,-63.09743482552756,22.62470230747993
11,11,-134.967922946061,-103.26994029606968,-63.09743482552756,22.114803527682042
12,12,-134.967922946061,-92.09721120466591,-63.09743482552756,23.2302580049696
13,13,-134.967922946061,-88.48784270027983,-63.09743482552756,25.067236649287292
14,14,-125.80270575087894,-84.4589937849075,-57.816731428177796,22.22684815101243
15,15,-125.80270575087894,-85.34926672764965,-63.09743482552756,21.103674396644898
16,16,-125.80270575087894,-78.23836818195701,-57.816731428177796,21.62637948110112
17,17,-125.80270575087894,-77.46544150884321,-57.816731428177796,23.517910327384218
18,18,-125.80270575087894,-69.92045163160985,-57.816731428177796,18.967294296747117
19,19,-110.00316960633279,-68.57663735090145,-57.816731428177796,17.226113591482367
