gen,gen,min,avg,max,std
0,0,-620.0865624868019,-367.68641772805057,-49.436297927779286,148.7427679348829
1,1,-482.64681842715544,-234.2011416416849,-49.436297927779286,109.19117554280629
2,2,-365.23266723458147,-155.53564008725868,-49.436297927779286,63.1630904951991
3,3,-251.4111072183742,-120.97789632432199,-49.436297927779286,37.70103809605927
4,4,-204.95411881853775,-105.03971737759393,-49.436297927779286,31.112866566586447
5,5,-160.49066029615045,-90.97694027097846,-49.436297927779286,33.02464085761287
6,6,-125.80270575087894,-74.30549812759271,-49.436297927779286,31.431858158590554
7,7,-125.80270575087894,-54.92012800580636,-49.436297927779286,17.47826158330737
8,8,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
9,9,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
10,10,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
11,11,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
12,12,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
13,13,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
14,14,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
15,15,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
16,16,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
17,17,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
18,18,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
19,19,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
20,20,-49.436297927779286,-49.43629792777928,-49.436297927779286,7.105427357601002e-15
