gen,gen,min,avg,max,std
0,0,-514.2384138115552,-284.2019769046973,-94.80757333565528,141.91551787051424
1,1,-484.9411191216838,-238.67081778778908,-94.80757333565528,120.57446240373282
2,2,-469.00329414435146,-232.99841701328643,-94.80757333565528,122.32263203698332
3,3,-469.00329414435146,-226.46793100950202,-94.80757333565528,123.78763959605223
4,4,-453.8257166204644,-206.85583920468724,-101.61624128998311,106.87216403661395
5,5,-453.8257166204644,-184.03317304186467,-101.61624128998311,95.61813311096546
6,6,-442.489020496211,-187.42813710288186,-101.61624128998311,96.5936054533071
7,7,-442.489020496211,-178.37254601817762,-101.61624128998311,84.36574777547828
8,8,-411.1789218587713,-185.78836901586283,-95.12035861761007,100.67848347878439
9,9,-411.1789218587713,-149.46829594201375,-79.25364417532296,69.5438766672749
10,10,-375.97941888225114,-134.4491802849338,-65.62287858189397,59.88363309998627
11,11,-316.9692761900548,-147.97626922424382,-65.62287858189397,65.60374441429505
12,12,-411.1789218587713,-139.03428365067143,-65.62287858189397,74.57852148306533
13,13,-411.1789218587713,-140.67384503334364,-53.97650813641919,87.89891339989522
14,14,-411.1789218587713,-151.67919855784325,-53.97650813641919,91.41444178175
15,15,-411.1789218587713,-176.80478847146915,-53.97650813641919,116.23155289252499
16,16,-411.1789218587713,-178.71881735925234,-74.55477407775318,104.94835029819714
17,17,-411.1789218587713,-149.46373894262894,-73.842892987648,80.90582101659986
18,18,-453.8257166204644,-167.31314455300898,-73.842892987648,97.38528794570826
19,19,-354.5774097332123,-164.99067782830406,-73.842892987648,81.50001997297788
