gen,gen,min,avg,max,std
0,0,-620.0865624868019,-374.60957429162437,-125.80270575087894,145.24537115408526
1,1,-490.6938661765007,-224.33026985726292,-104.57179853699267,99.36582975353626
2,2,-460.16088001344514,-177.15756510298556,-73.94850710287257,84.48796779746478
3,3,-381.8669463475794,-145.43808674279668,-58.708090234475435,55.83579083811269
4,4,-263.4624398627947,-125.26909928797959,-51.13221988970469,31.157746433401172
5,5,-499.33979513208504,-118.3227750267456,2.5210430395142267,62.647526453146874
6,6,-278.9408440980184,-102.10731221577359,2.5210430395142267,49.23228024051792
7,7,-143.75561729204796,-79.63650454175499,2.5210430395142267,44.153376756906674
8,8,-309.7073662097218,-73.48329895213456,2.5210430395142267,55.03745505038482
9,9,-429.6231182557667,-66.51751340188923,2.5210430395142267,58.99119180869222
10,10,-235.40896699471895,-54.51251518627983,2.5210430395142267,46.14330229879969
11,11,-264.786712875285,-57.45141801127876,2.5210430395142267,62.72299543463954
12,12,-277.92476683103536,-35.33125623981979,11.412365530261221,58.28809522196661
13,13,-127.87106692215173,-13.182054840871563,16.323878036929163,31.72158755100857
14,14,-100.97709514541448,0.9883341087476835,60.62898603487424,24.162523428478753
15,15,-40.87417321235346,15.149389454407475,68.53595782493316,21.240365430721106
16,16,-127.27016381625891,13.560336646911143,68.53595782493316,28.802643297921897
17,17,-119.49935163757664,16.280685759920935,79.32548338207458,36.36215258598664
18,18,-156.9864294793562,35.248772509915376,79.32548338207458,36.76764963886389
19,19,-6.497603110799337,47.387993964458616,82.05338566475204,26.47892992405185
20,20,-36.19354159511332,56.290689860703004,88.89729156992387,26.471788700942323
