gen,gen,min,avg,max,std
0,0,-661.813221809952,-360.25702732297594,-98.70818278837821,165.3865243298897
1,1,-571.4613748012468,-291.6643607766435,-72.8985382616436,164.46853260341666
2,2,-571.4613748012468,-266.1909991179175,-72.8985382616436,163.87658107077164
3,3,-523.5484105674165,-227.6889600406006,-9.25652566045251,164.9174963013271
4,4,-523.5484105674165,-203.06431645634626,-9.25652566045251,142.64612175597662
5,5,-490.7293192141554,-168.76286821109764,-9.25652566045251,119.50015756410976
6,6,-490.7293192141554,-167.57014449966425,-9.25652566045251,120.11275345379524
7,7,-490.7293192141554,-148.61862482073667,-9.25652566045251,105.30091754365134
8,8,-357.32327394576924,-135.33162229468365,-9.25652566045251,84.36125035842869
9,9,-357.32327394576924,-135.19053160672908,-9.25652566045251,84.43690888139913
10,10,-357.32327394576924,-118.82380878546132,-9.25652566045251,69.65684345485792
11,11,-357.32327394576924,-112.26881131285482,-9.25652566045251,65.15723426017841
12,12,-215.70421182162977,-98.35105981369361,-9.25652566045251,49.25322511979135
13,13,-215.70421182162977,-96.39929185673485,11.828615399058705,49.32429781891613
14,14,-215.70421182162977,-92.31800361519326,11.828615399058705,49.61454684819939
15,15,-215.70421182162977,-91.83681629227394,11.828615399058705,49.86989829543049
16,16,-215.70421182162977,-90.63075266150358,11.828615399058705,50.09772896009427
17,17,-215.70421182162977,-88.55383769406409,11.828615399058705,48.69899663379598
18,18,-215.70421182162977,-84.81229780013784,11.828615399058705,44.55860532727245
19,19,-215.70421182162977,-84.81229780013784,11.828615399058705,44.55860532727245
