gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-608.4757337178845,0.17839802976393812,-334.8520115878592,0.263519626988707,-125.80270575087894,0.45722676269038093,152.95809141060678,0.08725748682733839
1,1,-600.0895308844572,0.22848248877702965,-357.9992170408101,0.31029701104189866,-102.31423771919798,0.5039811707386834,155.46081661273885,0.07879365992441187
2,2,-546.9663827517794,0.24380795054791893,-356.96809843794637,0.33254018294443277,-36.2868050910319,0.4948701292156322,145.7018931585427,0.08058701028189877
3,3,-632.9341164802833,0.19594567686601796,-358.18709066690724,0.2762961524218527,-125.17986580531506,0.4574799073183797,155.96163358918972,0.08258000346453608
4,4,-565.6902081804789,0.23413872600857935,-394.65492506796426,0.31836770552159727,5.24211608461025,0.4763546605480224,139.9510344184157,0.07476466660165718
5,5,-577.5241332851739,0.14952453329984935,-324.21137459752066,0.2158188460339581,-89.53302206576454,0.4437816588070333,169.8083963485143,0.08798668997939874
6,6,-786.3828899098644,0.1669955492156581,-345.008317548364,0.24297687967124568,-94.88033374514514,0.4993249655237773,173.97634518420463,0.09538412621936682
7,7,-616.4130445537966,0.17479587648537437,-368.92565334338593,0.251985655769049,-73.41931316710249,0.4762468416822392,147.43512230595584,0.08740790546503922
8,8,-675.6969339046993,0.21498824630491425,-384.58780857746854,0.2987855623260722,-132.5086642752483,0.4570733993711919,137.59211325197595,0.08241917823799078
9,9,-561.8085545014584,0.21467421778037485,-353.02556838024265,0.29467393612092735,-90.51514085773908,0.491575450332825,146.38152327030664,0.07889069754185181
10,10,-561.1846053074221,0.2095911304438964,-305.0554164154164,0.2944560157110309,-57.02580038870832,0.46961566432033164,165.08753383207335,0.0853622193000028
11,11,-749.9585548872723,0.18890674055757517,-381.86169915127033,0.26657603814449504,-84.54533293251679,0.502765645171954,162.70793579533807,0.09099123492143962
12,12,-526.985296262072,0.18723490421577174,-351.53521660536364,0.26601521650383986,-100.67222121103481,0.47175513699474897,122.4516111393104,0.08658342957406748
13,13,-577.0700349552528,0.16653536062652521,-327.3177836683762,0.2551224369247839,-120.56756072707087,0.4531633794981363,169.1368327035849,0.09799036496333431
14,14,-530.5921690724292,0.13368482534580467,-286.2931954869193,0.18748584507151284,-92.31066691286928,0.36924770503617066,158.59444944682596,0.06754177158820363
15,15,-559.6005651554001,0.14564257906238906,-292.68043481908506,0.21482444105590062,-125.80270575087894,0.4662095607893396,159.36025964029275,0.08567306504325645
16,16,-572.3201232944554,0.17081386012105798,-310.97608617306975,0.24924148861383966,-47.33880101974908,0.46751282688940143,146.25990942413532,0.09029977673456549
17,17,-611.633362924592,0.1804364802108661,-347.11279052703253,0.2656671577680606,-13.99850337873066,0.47526527999824,171.65697999508822,0.09644404225405183
18,18,-595.6910832621468,0.16657644453661533,-357.55998467191074,0.245627727086479,-115.57281599946991,0.591090085163056,162.35033327833378,0.09463571199440399
19,19,-646.9572233548619,0.150470230272397,-331.9439446071627,0.22075211088595595,-119.70099170138944,0.5263446870484484,156.94766984931087,0.09972277853413207
