gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-694.0101021582221,0.21126158024027045,-429.9620482786832,0.28964814905897546,-67.55989145949644,0.48543012909037525,188.8320789238841,0.07681437415109633
1,1,-694.0101021582221,0.21266312310013044,-511.0054292350066,0.3472252916282094,-111.3813160495604,0.48543012909037525,188.45642785909644,0.07892549675607723
2,2,-699.1313931783417,0.25005667292537825,-566.2573962155398,0.4150301934813579,-108.2925808982598,0.48543012909037525,184.36343719146598,0.060456692435775505
3,3,-694.0101021582221,0.3407279049743971,-562.0596980677901,0.45321733282876486,-112.18133768790426,0.5452408839780082,199.11866518231622,0.04262563438341241
4,4,-694.0101021582221,0.40663360821359323,-604.789513465322,0.482648885835553,-112.18133768790426,0.5452408839780082,151.81524738564698,0.02849642869341746
5,5,-694.0101021582221,0.4480315124241917,-506.0129077038715,0.5049891152676727,-224.5004056718825,0.5452408839780082,204.40570021936927,0.022858079692363833
6,6,-682.8900225961092,0.48543012909037525,-444.4430947091728,0.5196439512791601,-224.5004056718825,0.5467055958308608,214.7455534386351,0.020158516994997232
7,7,-682.8900225961092,0.2133369738952106,-518.6768111070528,0.5248342085264373,-224.5004056718825,0.5467055958308608,200.29933427032958,0.041731624824397934
8,8,-682.8900225961092,0.5248863587378422,-548.5656612356923,0.5420575748734527,-224.5004056718825,0.6255469642485989,185.99592051577184,0.016908999417565265
9,9,-682.8900225961092,0.52549857710055,-616.780020477689,0.5561519300384534,-224.5004056718825,0.6255469642485989,103.58290986685088,0.02921080543704326
10,10,-682.8900225961092,0.24253842726570873,-609.4995722897819,0.5643740538297801,-224.5004056718825,0.6255469642485989,95.08888292197904,0.053105915313772914
11,11,-682.8900225961092,0.5452408839780082,-577.282175837731,0.588209574881659,-485.67560295988824,0.6255469642485989,94.8336278966354,0.038949085923159606
12,12,-682.8900225961092,0.5467055958308608,-523.7688547549957,0.6108821513291551,-485.67560295988824,0.6255469642485989,76.54429133557024,0.029945879876648106
13,13,-682.8900225961092,0.5467055958308608,-488.49295181183425,0.6244206589854885,-485.67560295988824,0.6255469642485989,23.402657203739604,0.009355794175484275
14,14,-485.67560295988824,0.043969435234214455,-485.67560295988824,0.6172387138341078,-485.67560295988824,0.6255469642485989,0.0,0.06901351115211161
15,15,-485.67560295988824,0.6255469642485989,-485.67560295988824,0.625546964248599,-485.67560295988824,0.6255469642485989,0.0,1.1102230246251565e-16
16,16,-485.67560295988824,0.6255469642485989,-485.67560295988824,0.625546964248599,-485.67560295988824,0.6255469642485989,0.0,1.1102230246251565e-16
17,17,-485.67560295988824,0.04764744611981421,-485.67560295988824,0.6172912568467593,-485.67560295988824,0.6255469642485989,0.0,0.0685770561093917
18,18,-485.67560295988824,0.0,-485.67560295988824,0.6083548716432079,-485.67560295988824,0.6255469642485989,0.0,0.10032711456341595
19,19,-698.6186100878363,0.6255469642485989,-494.8017318368004,0.6287719326440174,-485.67560295988824,0.7007962268083637,43.12840245370617,0.015240606037239516
20,20,-698.6186100878363,0.058245582169436406,-500.41707425254685,0.6225941818370753,-485.67560295988824,0.7007962268083637,51.044897682419645,0.07026958186631929
