gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,9.0,0.0,42.86666666666667,0.3064425034299342,111.66666666666667,1.0,38.522489823766875,0.3670443055431836
1,1,9.666666666666666,0.45449329096560304,94.46666666666667,0.8314207921318266,127.66666666666667,1.0,42.85043757069466,0.22087246852170817
2,2,59.666666666666664,0.6438804622632756,107.66666666666667,0.8098203603300671,127.66666666666667,1.0,25.043961347997648,0.15675488891460587
3,3,111.66666666666667,0.7026106696935301,121.26666666666668,0.8215664018161182,127.66666666666667,1.0,7.8383671769061705,0.1456904228397713
4,4,75.66666666666667,0.14463055135639025,107.66666666666667,0.769448244209984,127.66666666666667,1.0,17.158088471621774,0.33296448668400297
5,5,10.0,0.507168458781362,89.33333333333334,0.8075825003787525,111.66666666666667,1.0,39.855293807026996,0.23578024102624498
6,6,73.33333333333333,0.2944926890796457,102.00000000000001,0.7650473464384093,111.66666666666667,1.0,14.847371634213395,0.29729714824007364
7,7,10.0,0.37381547336540677,87.4,0.6345282202246817,156.0,1.0,51.87137939172237,0.29879112384311113
8,8,9.666666666666666,0.15122453146010917,52.466666666666676,0.6328764852393902,111.66666666666667,1.0,48.46102672365817,0.326635440057622
9,9,9.666666666666666,0.5052631578947369,56.66666666666667,0.7179659998282819,111.66666666666667,1.0,46.26781939005891,0.23169926796990226
10,10,9.666666666666666,0.5052631578947369,74.4,0.7090016740374727,129.0,1.0,53.09714367710062,0.2377797223208595
11,11,10.0,0.5078947368421053,71.0,0.8031578947368422,111.66666666666667,1.0,49.806291436591295,0.24108135889497595
12,12,10.0,0.4228958569565167,80.60000000000001,0.7861581187597244,111.66666666666667,1.0,40.9647002511512,0.2632774320308345
13,13,58.0,0.4228958569565167,154.4,0.6897040642175234,283.6666666666667,1.0,74.93683265850572,0.22255043599959112
14,14,111.66666666666667,0.8067513192332268,214.8666666666667,0.884050791539936,283.6666666666667,1.0,84.26244715174134,0.09467213226891832
15,15,111.66666666666667,0.8067513192332268,180.46666666666664,0.9227005276932907,283.6666666666667,1.0,84.26244715174133,0.09467213226891832
16,16,111.66666666666667,1.0,168.2,1.0,253.0,1.0,69.23891006267117,0.0
17,17,10.0,0.17450027072076177,139.46666666666667,0.7356299811514516,253.0,1.0,98.16937743852034,0.3401046760953426
18,18,10.0,0.4986271379363723,102.0,0.7148836179868533,253.0,1.0,89.85197703878184,0.23424121234465584
19,19,10.0,0.3700729809523931,109.06666666666668,0.6595287376416682,253.0,1.0,91.7046951421306,0.23330153932707579
20,20,13.333333333333334,0.5168269230769231,116.53333333333335,0.7507745158688592,253.0,1.0,89.44659486717946,0.19545282727845517
