gen,gen,min,avg,max,std
0,0,9.0,9.266666666666666,9.666666666666666,0.32659863237109016
1,1,9.0,39.733333333333334,85.33333333333333,37.23403460992823
2,2,9.0,43.93333333333333,85.33333333333333,34.74440002839786
3,3,58.0,63.46666666666666,85.33333333333333,10.933333333333332
4,4,58.0,98.66666666666666,166.66666666666666,48.53040284192992
5,5,58.0,84.93333333333332,166.66666666666666,41.08387085517191
6,6,31.0,37.2,62.0,12.4
7,7,31.0,54.13333333333334,96.0,23.307223486864896
8,8,62.0,77.73333333333332,133.66666666666666,28.09776582656429
9,9,62.0,140.46666666666664,447.3333333333333,153.45728323470925
10,10,62.333333333333336,181.46666666666667,447.3333333333333,141.33767288935312
11,11,62.333333333333336,175.6,447.3333333333333,141.78801077665204
12,12,62.333333333333336,175.6,447.3333333333333,141.78801077665204
13,13,62.333333333333336,196.46666666666664,447.3333333333333,130.83774514854477
14,14,73.0,206.4,500.0,150.034129450602
15,15,62.333333333333336,186.13333333333335,500.0,162.0868902780234
16,16,153.0,361.2,500.0,169.99458814915255
17,17,153.0,361.2,500.0,169.99458814915255
18,18,153.0,227.86666666666665,500.0,136.20386680756656
19,19,130.33333333333334,292.7333333333333,500.0,169.7517664774721
