gen,gen,min,avg,max,std
0,0,8.0,18.96666666666667,41.333333333333336,12.119268404762172
1,1,15.333333333333334,45.50000000000001,213.0,56.824339464313674
2,2,16.666666666666668,150.23333333333332,448.0,157.49928042163663
3,3,41.333333333333336,184.8,448.0,132.26574260429896
4,4,93.66666666666667,314.2,448.0,117.5963151350132
5,5,93.66666666666667,346.93333333333334,448.0,128.12500840108373
6,6,397.6666666666667,402.7,448.0,15.099999999999994
7,7,397.6666666666667,433.4,500.0,46.02289285417275
8,8,9.666666666666666,409.8666666666667,500.0,140.0039047074521
9,9,397.6666666666667,469.1333333333334,500.0,41.01793645603239
10,10,500.0,500.0,500.0,0.0
11,11,500.0,500.0,500.0,0.0
12,12,8.666666666666666,450.8666666666667,500.0,147.4
13,13,500.0,500.0,500.0,0.0
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
16,16,500.0,500.0,500.0,0.0
17,17,77.66666666666667,457.7666666666666,500.0,126.7
18,18,500.0,500.0,500.0,0.0
19,19,500.0,500.0,500.0,0.0
20,20,245.33333333333334,474.5333333333334,500.0,76.39999999999999
