gen,gen,min,avg,max,std
0,0,8.666666666666666,89.1,500.0,141.4671575549133
1,1,30.666666666666668,164.7666666666667,500.0,169.3376016522418
2,2,71.0,336.53333333333336,500.0,200.61755766742962
3,3,71.0,379.4333333333333,500.0,184.46770569518245
4,4,111.66666666666667,461.16666666666663,500.0,116.49999999999999
5,5,500.0,500.0,500.0,0.0
6,6,71.0,351.23333333333335,500.0,188.20798483474485
7,7,75.33333333333333,432.9666666666667,500.0,139.91397754016972
8,8,75.33333333333333,457.5333333333334,500.0,127.4
9,9,75.33333333333333,457.5333333333334,500.0,127.4
10,10,100.66666666666667,460.0666666666666,500.0,119.8
11,11,500.0,500.0,500.0,0.0
12,12,500.0,500.0,500.0,0.0
13,13,65.66666666666667,456.5666666666666,500.0,130.29999999999998
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
16,16,500.0,500.0,500.0,0.0
17,17,500.0,500.0,500.0,0.0
18,18,500.0,500.0,500.0,0.0
19,19,500.0,500.0,500.0,0.0
20,20,500.0,500.0,500.0,0.0
