gen,gen,min,avg,max,std
0,0,9.666666666666666,45.56666666666668,149.33333333333334,40.430475304321284
1,1,10.333333333333334,52.03333333333334,149.33333333333334,38.10612374234182
2,2,10.333333333333334,52.26666666666667,149.33333333333334,37.91387901840462
3,3,10.333333333333334,52.500000000000014,149.33333333333334,37.9678957951466
4,4,10.333333333333334,65.10000000000001,149.33333333333334,38.224206989812096
5,5,38.666666666666664,70.76666666666668,149.33333333333334,33.26761855685562
6,6,38.666666666666664,74.06666666666668,149.33333333333334,31.78811797581676
7,7,38.666666666666664,81.53333333333333,149.33333333333334,30.455869713406646
8,8,38.666666666666664,81.53333333333333,149.33333333333334,30.455869713406646
9,9,38.666666666666664,81.53333333333333,149.33333333333334,30.455869713406646
10,10,56.0,90.4,149.33333333333334,29.579572530905704
11,11,56.0,92.0,149.33333333333334,29.496515801776393
12,12,56.0,95.13333333333334,149.33333333333334,29.507136613218016
13,13,56.0,95.46666666666667,149.33333333333334,29.139968733301306
14,14,62.333333333333336,139.86666666666667,500.0,122.82808220345125
15,15,62.333333333333336,174.93333333333334,500.0,163.7611268484272
16,16,62.333333333333336,174.93333333333334,500.0,163.7611268484272
17,17,64.66666666666667,195.8,500.0,160.42874499983543
18,18,64.66666666666667,199.2,500.0,158.16272913960762
19,19,64.66666666666667,205.53333333333336,500.0,155.82156461799502
