gen,gen,min,avg,max,std
0,0,9.0,18.133333333333333,98.33333333333333,26.733748957700136
1,1,9.333333333333334,137.0333333333333,500.0,185.58810127088788
2,2,9.333333333333334,272.16666666666663,500.0,229.70944207362874
3,3,9.666666666666666,347.4333333333333,500.0,193.74760500311854
4,4,82.66666666666667,458.2666666666666,500.0,125.2
5,5,9.666666666666666,405.9,500.0,188.4088963457464
6,6,78.0,303.23333333333335,500.0,177.38808991712054
7,7,83.66666666666667,313.06666666666666,500.0,189.5087684866675
8,8,45.333333333333336,290.7666666666667,500.0,180.42715058068913
9,9,34.666666666666664,256.93333333333334,500.0,207.1565055164278
10,10,70.33333333333333,321.56666666666666,500.0,200.9750703169149
11,11,17.333333333333332,274.4666666666667,500.0,208.03991070091442
12,12,33.666666666666664,230.4,500.0,188.0812354040432
13,13,40.333333333333336,306.2333333333333,500.0,199.52594094781537
14,14,9.333333333333334,341.3666666666667,500.0,201.29516470430514
15,15,48.333333333333336,454.83333333333337,500.0,135.50000000000003
16,16,29.0,419.8666666666666,500.0,163.3240949768282
17,17,9.333333333333334,311.3333333333333,500.0,231.43960095214666
18,18,79.0,428.66666666666663,500.0,145.53876917623472
19,19,16.333333333333332,357.33333333333337,500.0,185.43965775061892
20,20,24.333333333333332,293.1,500.0,178.6672916655735
