gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,9.333333333333334,0.4426235731411648,98.95555555555555,0.5797275274819879,500.0,0.7386922813239919,159.54141998665435,0.12257858115683415
1,1,8.0,0.014228788641528257,20.222222222222225,0.0320592453093777,87.0,0.139057845508354,26.535976045575527,0.04207580042334549
2,2,8.666666666666666,0.2515025371082168,27.422222222222228,0.309086575089369,91.0,0.94202461199839,29.90886569085461,0.17074654011594073
3,3,8.0,0.07968277826460095,16.955555555555556,0.08378453266272887,36.333333333333336,0.0934706049055327,12.382105766382251,0.006048093703736506
4,4,8.666666666666666,0.3787994606907281,16.133333333333333,0.5513146676236375,59.666666666666664,0.8037483867101372,17.07708015635772,0.2061186955744608
5,5,8.666666666666666,0.024280911885201924,38.46666666666666,0.028911581847418186,55.0,0.03450869610748366,18.79353710819326,0.003776275137005351
6,6,9.666666666666666,0.289999035637943,42.977777777777774,0.40514123484907477,55.0,0.8657100316936015,16.88807015559347,0.2302843984222634
7,7,9.666666666666666,0.2228926055463724,39.53333333333333,0.5053272066806219,60.0,0.9273764299312229,24.416387939250967,0.34460969835136546
8,8,10.0,0.3852137814953014,40.22222222222222,0.4705473731876705,55.333333333333336,0.6412145565724083,21.3703382758601,0.1206799226973563
9,9,10.0,0.31963862064638277,46.666666666666664,0.42192297925322525,60.0,0.703204965422042,22.110831935702663,0.16961941971052774
10,10,10.0,0.2557108965171062,43.333333333333336,0.4261848275285104,60.0,0.7671326895513186,23.57022603955158,0.2410865452673831
11,11,60.0,0.31963862064638277,60.0,0.3196386206463827,60.0,0.31963862064638277,0.0,5.551115123125783e-17
12,12,60.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0
13,13,60.0,0.06392772412927655,60.0,0.06392772412927658,60.0,0.06392772412927655,0.0,2.7755575615628914e-17
14,14,60.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0
15,15,10.0,0.06392772412927655,56.666666666666664,0.12359359998326802,60.0,0.9589158619391482,12.472191289246474,0.22324926512742405
16,16,60.0,0.06392772412927655,60.0,0.06392772412927658,60.0,0.06392772412927655,0.0,2.7755575615628914e-17
17,17,60.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0
18,18,60.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0
19,19,60.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0
