gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-742.6400383030021,0.025642262485882285,-452.0394498572562,0.2585835803915409,-52.695970771949135,0.5019546371163953,182.3148853984354,0.14264601806890895
1,1,-712.5125967206098,0.007882035278817718,-399.66485436655825,0.2956216448294465,-89.30759727899063,0.7079888711019803,183.66956173647915,0.16944941490950652
2,2,-712.5125967206098,0.006381517870242215,-397.87629963892056,0.30429357324683504,-83.32889686495163,0.7433700160408601,172.30977712109632,0.15901919100675693
3,3,-712.8428405183973,0.0017556724862678927,-405.45332053377444,0.28996004888144217,-94.90711068892624,0.6045758904006266,182.20669107689525,0.15582871277679936
4,4,-713.3208621163413,0.0019202192147489965,-410.70495216460955,0.31753024650047734,-98.41827126874831,0.6409671447949944,164.3693941708315,0.159641633183384
5,5,-712.669637504133,0.004475390525424808,-416.23673109581904,0.29989923870085206,-89.65580635734709,0.7773264899133134,189.2368613253181,0.18806492372640873
6,6,-713.035000239889,0.002188995806621732,-378.97202166763907,0.28697092752987724,27.36744873718119,0.6660192658527885,183.6725156881459,0.15540590057972448
7,7,-718.430456837831,0.013335136474734843,-399.49821227948763,0.3092609740359814,-54.76773623707496,0.6985803329956272,174.81896574121208,0.15822242544408646
8,8,-701.0078029210839,0.05857981319273246,-407.6114062969071,0.3059477927578944,-100.33882704151806,0.5622274382918724,151.0647227276393,0.1318692043093702
9,9,-713.3208621163413,0.0034790843084383637,-398.0862877955817,0.30820544974417885,-81.18931187432952,0.6420116920879643,155.46754210608924,0.13883987947418058
10,10,-712.5125967206098,0.002343866024175281,-415.4565365457396,0.27481989235368404,-96.5520791866616,0.7727621052988891,170.50831116505037,0.1731406655900631
11,11,-712.5125967206098,0.002625307498886473,-416.14357510510325,0.29786204184724874,-100.24260320311419,0.7219804250055586,154.8896021363868,0.14872259503938984
12,12,-641.7414592382329,0.0004905265790858529,-400.4299158690089,0.2861636695411207,-91.93445069205124,0.5758634925253179,149.71359295092114,0.15495447723909767
13,13,-712.5125967206098,0.0027809996129793315,-407.4699085324418,0.264079601342057,2.358278514549061,0.6261662242601631,175.0256668479043,0.1440309392790412
14,14,-713.035000239889,0.0014637700286225539,-422.2991614679718,0.2989690071200021,-99.04398164281037,0.6063728017728904,170.41520651564426,0.15940936545848347
15,15,-712.5125967206098,0.0039100817042335085,-402.0602522236456,0.29214658273066724,-19.28804688276934,0.6056217889709107,192.25962475236804,0.16342986438762186
16,16,-712.5125967206098,0.0025305779235296846,-409.0525402992225,0.3159444644489308,-70.44874283478238,0.6465231713693447,176.10169933140182,0.1531761216493114
17,17,-714.1977969965518,0.0011176828783234917,-397.4907415380558,0.28960188082869015,-27.39391432368468,0.6019296498383492,186.316578531868,0.14430337274529048
18,18,-881.0063188575558,0.0006774894529303506,-413.73652559604983,0.335649788816312,-75.98597404711343,0.7169242418941916,183.06629562713857,0.137258467198951
19,19,-755.4919584610028,0.0015086691809407594,-407.08213484913364,0.31129680538548093,-93.79409533783603,0.6595593922505812,199.35644718204904,0.1554065967090352
