gen,gen,min,avg,max,std
0,0,-523.5484105674165,-306.6936696283665,-99.95817271681524,137.35834268919635
1,1,-523.5484105674165,-304.55312306840034,-90.62259727751096,135.16936383846166
2,2,-500.42190137255284,-217.83193909613266,-9.738832479139912,127.63281724061558
3,3,-500.42190137255284,-167.70179970280824,-67.54340299528718,115.07133647020875
4,4,-500.42190137255284,-156.97801018963727,-67.54340299528718,117.23142372340801
5,5,-499.763430697199,-176.883982161787,29.554570997935357,148.52651070282417
6,6,-499.763430697199,-199.15707530047408,-66.23520654596304,137.92739145337893
7,7,-499.763430697199,-193.78119004925387,-30.78899252052612,151.92279176626457
8,8,-499.763430697199,-178.4754726785746,-30.78899252052612,128.04733720845485
9,9,-377.07784618422966,-152.29300398977847,-30.78899252052612,103.8724617089332
10,10,-376.119804608037,-137.27152998994566,-30.78899252052612,106.07580807773479
11,11,-376.119804608037,-125.04292088994073,-2.2053651718099396,107.58610893184093
12,12,-376.119804608037,-104.83795953636734,-2.2053651718099396,101.66063086270191
13,13,-278.02727493744084,-103.9755700217247,-2.2053651718099396,83.11630175023356
14,14,-278.02727493744084,-79.51230346779124,-2.2053651718099396,69.63024263933711
15,15,-278.02727493744084,-50.372061729357156,-2.2053651718099396,51.198425568136884
16,16,-278.02727493744084,-41.719094292708576,-2.2053651718099396,46.47158807725932
17,17,-278.02727493744084,-38.998730207854045,-0.8537376842735208,47.849670667840854
18,18,-278.02727493744084,-46.46590310720845,-0.8537376842735208,61.90766354486168
19,19,-278.02727493744084,-32.58738017566304,-0.1625583669637128,48.11450688855613
