gen,gen,min,avg,max,std
0,0,-616.4130445537966,-383.20244109976505,-125.80270575087894,144.0042264030211
1,1,-526.985296262072,-270.906110824643,-121.42306478376797,135.0281316977678
2,2,-490.6938661765007,-172.7918824810522,-75.56040848380326,93.00720159149887
3,3,-358.0633577958463,-129.19383230708652,-75.56040848380326,37.64097670360214
4,4,-297.05879454106133,-119.31984708106857,-75.56040848380326,27.307518557724123
5,5,-140.61448206501365,-112.92882488711707,-73.69167016381574,19.089490748983962
6,6,-127.71677020007655,-105.89255494740154,-55.19216310917573,21.575595410620593
7,7,-125.80270575087894,-99.70835748729382,-55.19216310917573,22.228688942555582
8,8,-147.05976827099775,-85.04021667416968,-55.19216310917573,19.37293066357086
9,9,-194.54251094368055,-79.62988697247816,-50.2847919295688,20.461026526640364
10,10,-120.08959962377985,-72.387338444731,-50.2847919295688,10.848375255410906
11,11,-75.56040848380326,-66.29754612481352,-50.2847919295688,9.918596666371341
12,12,-75.56040848380326,-59.07249156117889,-29.79431857775299,9.541838724607446
13,13,-220.63408707543886,-59.03284159825812,-29.79431857775299,26.162039010622877
14,14,-124.16759824280912,-48.802301178025985,-8.411403419044357,14.228727939467978
15,15,-115.74113091546049,-40.91212068989644,-8.411403419044357,15.471253229965773
16,16,-67.88159424421512,-34.61254606510489,-8.411403419044357,12.562489527455105
17,17,-45.9871262402639,-28.47053627771228,-8.411403419044357,10.040824649481287
18,18,-45.96778386604327,-23.177178119622855,-5.280538265394601,10.994593300465027
19,19,-49.08302070604859,-19.198492067886924,-5.280538265394601,11.326235139014312
20,20,-76.67678263111884,-14.966452346675819,1.5098741451025386,14.324653950186311
