gen,gen,min,avg,max,std
0,0,-514.2384138115552,-273.1047695612812,-125.80270575087894,126.38915013401504
1,1,-480.89757371714126,-213.91914718719096,-90.99308328456658,111.57100137784637
2,2,-393.7279582125759,-206.40578509409474,-90.99308328456658,95.16518568653319
3,3,-338.91890944147576,-170.4327721575599,-90.99308328456658,65.7000015120624
4,4,-393.7279582125759,-157.35553178056435,30.675405866866765,89.40348387382198
5,5,-393.7279582125759,-156.90260219069128,30.675405866866765,99.70122275193019
6,6,-393.7279582125759,-170.04998082721423,-86.45343191394862,82.2756622293987
7,7,-393.7279582125759,-161.20867788271826,-90.99308328456658,64.60519916061111
8,8,-295.23728908728134,-154.96971713774028,-90.99308328456658,54.33425833375448
9,9,-235.12361664861805,-140.77035517888947,-90.99308328456658,40.44255401520874
10,10,-235.12361664861805,-132.0260238885871,-89.25133578073151,31.040766308221222
11,11,-279.11319712834666,-152.72068425163056,-70.97735277628551,51.66599272005183
12,12,-235.12361664861805,-129.83084111265416,-90.99308328456658,25.405754621953072
13,13,-193.12926447919543,-125.19296727591743,-108.72100635156335,11.758179211199034
14,14,-279.11319712834666,-128.22699693693903,-108.72100635156335,25.02519747747164
15,15,-154.56221263998032,-124.75033294554771,-113.27249700262996,7.073426412761848
16,16,-235.12361664861805,-126.86236290954642,-113.27249700262996,18.801753308844408
17,17,-154.56221263998032,-125.95455945989406,-113.27249700262996,8.806655244255998
18,18,-393.7279582125759,-130.70933608222956,-113.27249700262996,42.53361785329193
19,19,-279.11319712834666,-130.78559258509716,-52.59537296383422,36.467066516343564
