gen,gen,min,avg,max,std
0,0,-682.8956919425092,-430.69316094992354,-67.55989145949644,185.75877510443112
1,1,-602.3192959195436,-275.8378321673799,-60.368545293170364,143.4105332488325
2,2,-469.09817822411014,-165.73666711855583,-48.312855973233376,105.824508800196
3,3,-489.70791688775125,-138.6636998480748,-60.368545293170364,99.13977823921934
4,4,-507.0867155227749,-124.05774101111902,-67.55989145949644,87.57511824028813
5,5,-545.7767168622258,-108.77429412319876,-29.957431994312028,79.27852484314073
6,6,-269.29360535217876,-85.99059679662432,-29.957431994312028,46.95859164395372
7,7,-247.56683903726343,-74.95834125412257,-29.957431994312028,36.163768748412075
8,8,-514.6033903112692,-78.65897796610462,-29.957431994312028,74.57604316636736
9,9,-127.77683982571621,-54.6360290225392,-16.64889131879528,20.81373931996593
10,10,-133.6104586704532,-51.339729037412944,-6.366929740941881,28.77261222684959
11,11,-212.5228323443076,-39.99772641659049,4.059575939474229,44.63894997041304
12,12,-140.307540188697,-25.304920248133907,4.059575939474229,24.536589182491
13,13,-96.52299008266277,-17.934598794964508,4.059575939474229,19.724622153116783
14,14,-192.58632337273767,-18.87990741558602,4.059575939474229,40.935944558899024
15,15,-71.63148173194784,-4.990785409904905,4.059575939474229,12.852878527932814
16,16,-83.67283123281666,-5.230760644271957,4.059575939474229,18.238697470359455
17,17,-71.63148173194784,-2.368612898352858,4.059575939474229,15.813029493126027
18,18,-71.90803646339968,-0.6271706223355227,4.059575939474229,17.366768701515003
19,19,0.1097557301883126,3.898832450163242,4.059575939474229,0.5418562723007473
20,20,3.9687458448905963,3.9796454562406325,4.059575939474229,0.029516287067765868
