gen,gen,min,avg,max,std
0,0,-532.6142544493671,-309.1630047480212,-101.07441005682854,148.2487859609462
1,1,-526.985296262072,-240.525545676439,-101.07441005682854,127.3080628503464
2,2,-526.985296262072,-201.10179695580345,-101.07441005682854,105.49576002038944
3,3,-479.68543765181556,-176.28696548261766,-73.77784336394876,89.97766310500909
4,4,-479.68543765181556,-157.42778265272574,-47.838472831160175,74.23323548488624
5,5,-345.7195988928186,-151.30180422052243,-47.838472831160175,62.91609418878898
6,6,-345.7195988928186,-143.6215470708901,-47.838472831160175,58.1378528168542
7,7,-320.872779747635,-134.2958184560332,27.390893528986823,59.19028192316134
8,8,-255.6730321207282,-127.05004223258913,27.390893528986823,55.63531131414177
9,9,-255.6730321207282,-120.33382946053116,27.390893528986823,49.228918346087376
10,10,-213.29053849747933,-115.54398803301555,27.390893528986823,45.01712121038948
11,11,-187.55927698506062,-109.75420026040433,27.390893528986823,38.52578110596438
12,12,-187.55927698506062,-108.92043854562584,27.390893528986823,38.49604712937297
13,13,-161.34565149666523,-107.51839319850365,27.390893528986823,37.703760074656074
14,14,-161.34565149666523,-105.87450947865393,27.390893528986823,36.88802477139992
15,15,-161.34565149666523,-105.44204355738152,27.390893528986823,37.03889717149651
16,16,-161.34565149666523,-103.4766833975259,27.390893528986823,37.70020181100022
17,17,-161.34565149666523,-102.7533135177217,27.390893528986823,37.569558427264134
18,18,-161.34565149666523,-102.7533135177217,27.390893528986823,37.569558427264134
19,19,-161.34565149666523,-101.88523821818305,27.390893528986823,37.24520932344487
