gen,gen,min,avg,max,std
0,0,-731.9764218171364,-420.8778664487167,-95.38411315687426,181.25972818333622
1,1,-578.4400883707815,-285.59051885064684,3.8168719006350167,169.609545384111
2,2,-500.42190137255284,-186.5684516978936,3.8168719006350167,126.89685954774376
3,3,-346.9984534738325,-101.96524199073988,3.8168719006350167,70.5657100995565
4,4,-300.8057423900252,-74.4188675668696,3.8168719006350167,63.02594629215604
5,5,-107.04027554000862,-23.91489441043393,3.8168719006350167,43.56226804007836
6,6,-44.70368313400962,3.070401823178946,3.8168719006350167,5.971760619648571
7,7,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
8,8,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
9,9,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
10,10,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
11,11,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
12,12,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
13,13,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
14,14,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
15,15,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
16,16,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
17,17,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
18,18,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
19,19,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
20,20,3.8168719006350167,3.816871900635017,3.8168719006350167,4.440892098500626e-16
